OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu1772,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Ruminococcaceae,0.96,Sporobacter,0.47
Otu1773,Bacteria,1,Proteobacteria,0.28,Gammaproteobacteria,0.27,Cellvibrionales,0.2,Cellvibrionaceae,0.19,Pseudoteredinibacter,0.16
Otu1774,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Oscillibacter,0.63
Otu1775,Bacteria,1,Firmicutes,0.92,Clostridia,0.91,Clostridiales,0.91,Lachnospiraceae,0.85,Sellimonas,0.28
Otu1776,Bacteria,1,Firmicutes,0.99,Clostridia,0.98,Clostridiales,0.98,Ruminococcaceae,0.82,Papillibacter,0.52
Otu1777,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.97,Robinsoniella,0.33
Otu1778,Bacteria,1,Firmicutes,0.99,Clostridia,0.95,Clostridiales,0.95,Lachnospiraceae,0.47,Merdimonas,0.29
Otu1779,Bacteria,1,Bacteroidetes,0.99,Bacteroidia,0.98,Bacteroidales,0.98,Porphyromonadaceae,0.98,Parabacteroides,0.98
Otu1780,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Anaerotignum,1
Otu1781,Bacteria,1,Firmicutes,0.67,Clostridia,0.6,Clostridiales,0.59,Clostridiaceae 3,0.1,Caldisalinibacter,0.1
Otu1782,Bacteria,1,Firmicutes,0.69,Clostridia,0.42,Clostridiales,0.42,Ruminococcaceae,0.34,Colidextribacter,0.33
Otu1783,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Blautia,0.6
Otu1784,Bacteria,1,Firmicutes,0.96,Clostridia,0.93,Clostridiales,0.91,Gracilibacteraceae,0.1,Lutispora,0.1
Otu1785,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.99,Pseudobutyrivibrio,0.49
Otu1786,Bacteria,0.99,Firmicutes,0.71,Erysipelotrichia,0.5,Erysipelotrichales,0.5,Erysipelotrichaceae,0.5,Bulleidia,0.28
Otu1787,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Clostridium XlVb,1
Otu1788,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.94,Clostridium XlVa,0.17
