sample,date,day,status,cage,tx_group,mouse_type,mouse_num,mark,collector,pre_weight,post_weight,pellet_weight
jxe.096,4/1/21,3,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,1.0085,1.0495,0.041
jxe.097,4/2/21,4,treatment,JC1,jax_control,jax,J1,none,TM/GU,1.0015,1.0323,0.0308
jxe.098,4/2/21,4,treatment,JC1,jax_control,jax,J2,black,TM/GU,1.008,1.0318,0.0238
jxe.099,4/2/21,4,treatment,JC2,jax_control,jax,J3,red,TM/GU,1.0044,1.0251,0.0207
jxe.100,4/2/21,4,treatment,JC2,jax_control,jax,J4,green,TM/GU,1.0023,1.0291,0.0268
jxe.101,4/2/21,4,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,1.0014,1.0212,0.0198
jxe.102,4/2/21,4,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,1.006,1.0316,0.0256
jxe.103,4/2/21,4,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,1.0049,1.0566,0.0517
jxe.104,4/2/21,4,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,1.0021,1.0203,0.0182
jxe.105,4/2/21,4,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,1.0048,1.0333,0.0285
jxe.106,4/2/21,4,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,1.0058,1.032,0.0262
jxe.107,4/2/21,4,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,1.0119,1.0258,0.0139
jxe.108,4/2/21,4,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,1.0035,1.079,0.0755
jxe.109,4/2/21,4,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,1.0139,1.0249,0.011
jxe.110,4/2/21,4,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,1.0071,1.0308,0.0237
jxe.111,4/2/21,4,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,1.002,1.0094,0.0074
jxe.112,4/2/21,4,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,1.0067,1.0185,0.0118
jxe.113,4/3/21,5,treatment,JC1,jax_control,jax,J1,none,TM/GU,1.0035,1.032,0.0285
jxe.114,4/3/21,5,treatment,JC1,jax_control,jax,J2,black,TM/GU,1.0087,1.024,0.0153
jxe.115,4/3/21,5,treatment,JC2,jax_control,jax,J3,red,TM/GU,1.0039,1.016,0.0121
jxe.116,4/3/21,5,treatment,JC2,jax_control,jax,J4,green,TM/GU,1.0053,1.0266,0.0213
jxe.117,4/3/21,5,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,0.9997,1.0123,0.0126
jxe.118,4/3/21,5,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,1.0045,1.0229,0.0184
jxe.119,4/3/21,5,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,1.0034,1.0163,0.0129
jxe.120,4/3/21,5,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,1.0054,1.0358,0.0304
jxe.121,4/3/21,5,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,1.0072,1.0224,0.0152
jxe.122,4/3/21,5,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,1.0025,1.0607,0.0582
jxe.123,4/3/21,5,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,1.0054,1.0255,0.0201
jxe.124,4/3/21,5,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,1.0055,1.0532,0.0477
jxe.125,4/3/21,5,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,1.0058,1.0217,0.0159
jxe.126,4/3/21,5,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,1.0021,1.0266,0.0245
jxe.127,4/3/21,5,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,1.0163,1.0297,0.0134
jxe.128,4/3/21,5,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,1.0061,1.0237,0.0176
jxe.129,4/13/21,15,treatment,JC1,jax_control,jax,J1,none,TM/GU,0.9712,0.9927,0.0215
jxe.130,4/13/21,15,treatment,JC1,jax_control,jax,J2,black,TM/GU,0.9905,1.0025,0.012
jxe.131,4/13/21,15,treatment,JC2,jax_control,jax,J3,red,TM/GU,0.9775,1.0011,0.0236
jxe.132,4/13/21,15,treatment,JC2,jax_control,jax,J4,green,TM/GU,0.9747,1.0114,0.0367
jxe.133,4/13/21,15,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,0.9742,1.0019,0.0277
jxe.134,4/13/21,15,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,0.9886,1.0111,0.0225
jxe.135,4/13/21,15,treatment,EC2,envigo_control,envigo,E3,red,TM/GU,0.9881,1.0358,0.0477
jxe.136,4/13/21,15,treatment,EC2,envigo_control,envigo,E4,green,TM/GU,0.9756,1.0059,0.0303
jxe.137,4/13/21,15,treatment,JE1,jax_envigo_mix,jax,J5,none,TM/GU,0.9785,0.9924,0.0139
jxe.138,4/13/21,15,treatment,JE1,jax_envigo_mix,envigo,E8,green,TM/GU,0.9718,0.9942,0.0224
jxe.139,4/13/21,15,treatment,JE2,jax_envigo_mix,jax,J6,black,TM/GU,0.9867,1.0155,0.0288
jxe.140,4/13/21,15,treatment,JE2,jax_envigo_mix,envigo,E7,red,TM/GU,0.9819,0.9928,0.0109
jxe.141,4/13/21,15,treatment,JE3,jax_envigo_mix,jax,J7,red,TM/GU,0.9852,1.0047,0.0195
jxe.142,4/13/21,15,treatment,JE3,jax_envigo_mix,envigo,E6,black,TM/GU,0.9825,1,0.0175
jxe.143,4/13/21,15,treatment,JE4,jax_envigo_mix,jax,J8,green,TM/GU,0.9949,1.0512,0.0563
jxe.144,4/13/21,15,treatment,JE4,jax_envigo_mix,envigo,E5,none,TM/GU,0.9855,1.0076,0.0221
jxe.145,4/14/21,16,treatment,JC1,jax_control,jax,J1,none,TM/GU,0.9768,1.0074,0.0306
jxe.146,4/14/21,16,treatment,JC1,jax_control,jax,J2,black,TM/GU,0.9746,0.9998,0.0252
jxe.147,4/14/21,16,treatment,JC2,jax_control,jax,J3,red,TM/GU,0.9861,1.0266,0.0405
jxe.148,4/14/21,16,treatment,JC2,jax_control,jax,J4,green,TM/GU,0.9716,1.0116,0.04
jxe.149,4/14/21,16,treatment,EC1,envigo_control,envigo,E1,none,TM/GU,0.9839,1.0001,0.0162
jxe.150,4/14/21,16,treatment,EC1,envigo_control,envigo,E2,black,TM/GU,0.971,1.0179,0.0469
