"","X.1","X","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"40",40,40,"Otu1","Otu51",0.946942114220471,0.00323254712345974,0.947960033305579,0.920546774882529,8.16549251405544,0.00000000000000032013,0.0000000000000165,"J",168569,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu51_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu51","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"41",41,41,"Otu1","Otu54",0.978942059153034,0.00240291938725496,0.97875166002656,0.984147952443857,-2.16648686528384,0.030274,0.132,"J",32313,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu54_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu54","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"42",42,42,"Otu1","Otu55",0.959118217989653,0.00305791556476426,0.959349593495935,0.960683760683761,-0.511964003240461,0.60868,0.758,"J",121154,1366584,FALSE,"Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Otu55_Eggerthellales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu55","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"43",43,43,"Otu1","Otu56",0.989997115321727,0.00159436240816503,0.990045248868778,0.995499549954995,-3.45118186749111,0.00055814,0.00469,"J",14543,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu56_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu56","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"44",44,44,"Otu1","Otu59",0.979612644923571,0.00314305464730758,0.979591836734694,0.988121425428949,-2.70716912690855,0.006786,0.0412,"J",45969,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu59_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu59","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"45",45,45,"Otu1","Otu61",0.965386279399991,0.00349079368410952,0.965098585661272,0.949383802816901,4.58419432117532,0.0000045574,0.0000653,"J",100195,1366584,TRUE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu61_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu61","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"46",46,46,"Otu1","Otu71",0.985402353867555,0.0017215568491761,0.98561797752809,0.981957600360848,2.00095251478681,0.045398,0.172,"J",29468,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu71_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu71","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"47",47,47,"Otu1","Otu72",0.976105176205129,0.00163682919504229,0.975685234305924,0.989533362407327,-8.20377974859555,0.00000000000000023294,0.0000000000000124,"J",56115,1366584,TRUE,"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Otu72_Erysipelotrichales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu72","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"48",48,48,"Otu1","Otu73",0.991613458276535,0.00154639331939625,0.99181446111869,0.98997722095672,1.05809906140412,0.29001,0.544,"J",14625,1366584,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu73_Clostridiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#828382'>Otu73","<b style='color:#828382'>Otu1","Shared Taxa","Shared Taxa","unchanged","depleted"
"49",49,49,"Otu1","Otu79",0.989339971446466,0.00206149824330395,0.989130434782609,0.999103139013453,-4.73595725763996,0.0000021802,0.0000335,"J",25871,1366584,TRUE,"Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu79_Lactobacillales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu79","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
"50",50,50,"Otu1","Otu8",0.809294564526867,0.00566599265681032,0.808829789888317,0.894564326686698,-15.0493951059642,0.0000000000000000000000000000000000000000000000000034841,0.00000000000000000000000000000000000000000000000119,"J",765822,1366584,TRUE,"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Otu8_Verrucomicrobiales","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Otu1_Lactobacillales","<b style='color:#E41A1C'>Otu8","<b style='color:#828382'>Otu1","Recipient Taxa","Shared Taxa","depleted","depleted"
