"","X.1","X","OTU2","OTU1","meandist","distsd","median","Original","Zscore","zpvalue","zpadjusted","MouseGroup","InstancesOTU1","InstancesOTU2","Significant","Phylum_OTU1","Class_OTU1","Order_OTU1","Family_OTU1","OTU1WithOrder","Phylum_OTU2","Class_OTU2","Order_OTU2","Family_OTU2","OTU2WithOrder","OTU1ColorName","OTU2ColorName","OTU1Type","OTU2Type","OTU1emergence","OTU2emergence"
"506",506,506,"Otu11","Otu93",0.998366649581669,0.00179157222288946,0.998043052837573,1,-0.911685500290331,0.36193,0.764,"E",4418,166569,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu93_Clostridiales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu93","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","depleted","enriched"
"507",507,507,"Otu11","Otu98",0.990665428152833,0.00407949177494323,0.990925589836661,0.994575045207957,-0.958358852231677,0.33788,0.745,"E",20042,166569,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Otu98_Bacteroidales","Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu11_Bacteroidales","<b style='color:#828382'>Otu98","<b style='color:#377EB8'>Otu11","Shared Taxa","Donor Taxa","unchanged","enriched"
"508",508,508,"Otu112","Otu114",0.99634460547504,0.0101577569207387,1,1,-0.359862374487099,0.71895,0.868,"E",6183,6816,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu114_Bacteroidales","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu112_Clostridiales","<b style='color:#828382'>Otu114","<b style='color:#828382'>Otu112","Shared Taxa","Shared Taxa","unchanged","unchanged"
"509",509,509,"Otu112","Otu115",0.998108651911469,0.00617491387654336,1,1,-0.306295460365182,0.75938,0.87,"E",20323,6816,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu115_Clostridiales","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu112_Clostridiales","<b style='color:#828382'>Otu115","<b style='color:#828382'>Otu112","Shared Taxa","Shared Taxa","unchanged","unchanged"
"510",510,510,"Otu112","Otu117",0.998989898989899,0.00553255108591076,1,1,-0.182574185835057,0.85513,0.872,"E",25491,6816,FALSE,"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Otu117_Clostridiales","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu112_Clostridiales","<b style='color:#377EB8'>Otu117","<b style='color:#828382'>Otu112","Donor Taxa","Shared Taxa","unchanged","unchanged"
"511",511,511,"Otu112","Otu12",0.996825396825397,0.0173880176985767,1,1,-0.182574185835055,0.85513,0.872,"E",1964,6816,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu12_Clostridiales","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu112_Clostridiales","<b style='color:#E41A1C'>Otu12","<b style='color:#828382'>Otu112","Recipient Taxa","Shared Taxa","depleted","unchanged"
"512",512,512,"Otu112","Otu121",1,0,1,0.925925925925926,Inf,0,0,"E",16440,6816,TRUE,"Proteobacteria","Gammaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Otu121_Desulfovibrionales","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu112_Clostridiales","<b style='color:#377EB8'>Otu121","<b style='color:#828382'>Otu112","Donor Taxa","Shared Taxa","unchanged","unchanged"
"513",513,513,"Otu112","Otu124",0.998084291187739,0.00435688530792473,1,1,-0.439696865275768,0.66016,0.868,"E",10907,6816,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Otu124_Bacteroidales","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu112_Clostridiales","<b style='color:#828382'>Otu124","<b style='color:#828382'>Otu112","Shared Taxa","Shared Taxa","unchanged","unchanged"
"514",514,514,"Otu112","Otu129",0.997916666666667,0.011410886614691,1,1,-0.182574185835055,0.85513,0.872,"E",13807,6816,FALSE,"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu129_Clostridiales","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu112_Clostridiales","<b style='color:#377EB8'>Otu129","<b style='color:#828382'>Otu112","Donor Taxa","Shared Taxa","unchanged","unchanged"
"515",515,515,"Otu112","Otu13",0.997618830922575,0.00255132269425029,0.997542997542998,1,-0.933307684986757,0.35066,0.75,"E",166715,6816,FALSE,"Bacteroidetes","Bacteroidia","Bacteroidales","Muribaculaceae","Otu13_Bacteroidales","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Otu112_Clostridiales","<b style='color:#377EB8'>Otu13","<b style='color:#828382'>Otu112","Donor Taxa","Shared Taxa","enriched","unchanged"
