OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu632,Bacteria,1.0000,Firmicutes,0.6900,Clostridia,0.6900,Clostridiales,0.6900,Lachnospiraceae,0.5800,Agathobacter,0.4300
Otu634,Bacteria,1.0000,Firmicutes,0.4500,Bacilli,0.3400,Lactobacillales,0.3400,Lactobacillaceae,0.3400,Lacticaseibacillus,0.3300
Otu630,Bacteria,1.0000,Firmicutes,1.0000,Erysipelotrichia,0.9500,Erysipelotrichales,0.9500,Erysipelotrichaceae,0.9500,Erysipelothrix,0.2400
Otu631,Bacteria,1.0000,Bacteroidetes,0.9800,Bacteroidia,0.9600,Bacteroidales,0.9600,Marinilabiliaceae,0.3200,Marinilabilia,0.3000
Otu633,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.6900,Bacteroidales,0.6900,Prevotellaceae,0.4000,Prevotella,0.2300
Otu636,Bacteria,1.0000,Firmicutes,0.6400,Clostridia,0.6400,Clostridiales,0.6400,Lachnospiraceae,0.3400,Blautia,0.1500
Otu635,Bacteria,1.0000,Bacteroidetes,0.9900,Bacteroidia,0.9300,Bacteroidales,0.9300,Dysgonomonadaceae,0.4400,Dysgonomonas,0.4400
Otu640,Bacteria,1.0000,Proteobacteria,0.3600,Gammaproteobacteria,0.3400,Clostridiales,0.2200,Fusobacteriaceae,0.1200,Moraxella,0.1100
Otu638,Bacteria,1.0000,Verrucomicrobia,0.7300,Verrucomicrobiae,0.7000,Verrucomicrobiales,0.7000,Verrucomicrobiaceae,0.5200,Brevifollis,0.2700
Otu639,Bacteria,1.0000,Bacteroidetes,0.9600,Bacteroidia,0.7000,Bacteroidales,0.7000,Dysgonomonadaceae,0.2900,Dysgonomonas,0.2900
Otu637,Bacteria,1.0000,Bacteroidetes,0.9000,Cytophagia,0.9000,Cytophagales,0.9000,Roseivirgaceae,0.5300,Roseivirga,0.5300
Otu644,Bacteria,0.9600,Proteobacteria,0.3700,Gammaproteobacteria,0.2400,Bacillales,0.0800,Bacillaceae_2,0.0700,Gp5,0.0900
Otu643,Bacteria,1.0000,Bacteroidetes,0.9700,Bacteroidia,0.9600,Bacteroidales,0.9600,Marinilabiliaceae,0.2300,Dysgonomonas,0.2200
Otu642,Bacteria,1.0000,Bacteroidetes,0.5400,Bacteroidia,0.5100,Bacteroidales,0.5100,Clostridiaceae_1,0.3300,Clostridium_sensu_stricto,0.3300
Otu641,Bacteria,1.0000,Firmicutes,0.8700,Clostridia,0.8700,Clostridiales,0.8700,Clostridiaceae_1,0.8200,Caloramator,0.7600
Otu645,Bacteria,1.0000,Proteobacteria,1.0000,Alphaproteobacteria,1.0000,Rhizobiales,1.0000,Brucellaceae,0.9700,Brucella,0.9700
Otu646,Bacteria,1.0000,Firmicutes,0.7400,Clostridia,0.7300,Clostridiales,0.6100,Clostridiaceae_1,0.3000,Clostridium_sensu_stricto,0.2600
Otu647,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9800,Coprococcus,0.3300
Otu648,Bacteria,1.0000,Firmicutes,0.9200,Erysipelotrichia,0.8800,Erysipelotrichales,0.8800,Erysipelotrichaceae,0.8800,Absicoccus,0.6100
Otu653,Bacteria,0.6700,Euryarchaeota,0.2600,Halobacteria,0.2600,Haloferacales,0.1400,Halorubraceae,0.1400,Salinigranum,0.0900
Otu650,Bacteria,1.0000,Firmicutes,0.7300,Clostridia,0.7300,Clostridiales,0.7300,Lachnospiraceae,0.6400,Cellulosilyticum,0.5800
Otu651,Bacteria,1.0000,Firmicutes,0.9700,Clostridia,0.9600,Clostridiales,0.9600,Lachnospiraceae,0.8500,Extibacter,0.8100
Otu649,Bacteria,0.9500,Firmicutes,0.5700,Bacilli,0.4500,Bacillales,0.4400,Coriobacteriaceae,0.3700,Coriobacterium,0.3700
Otu652,Bacteria,1.0000,Firmicutes,0.9900,Erysipelotrichia,0.8600,Erysipelotrichales,0.8600,Erysipelotrichaceae,0.8600,Allobaculum,0.2900
Otu654,Bacteria,1.0000,Bacteroidetes,0.6200,Chitinophagia,0.4600,Chitinophagales,0.4600,Chitinophagaceae,0.4600,Parafilimonas,0.4500
Otu657,Archaea,0.5200,Crenarchaeota,0.2900,Thermoprotei,0.2900,Thermoproteales,0.2900,Thermoproteaceae,0.2800,Pyrobaculum,0.1800
Otu659,Archaea,0.6400,Euryarchaeota,0.5300,Halobacteria,0.4400,Halobacteriales,0.4100,Halobacteriaceae,0.4100,Halococcus,0.2100
Otu656,Bacteria,1.0000,Firmicutes,0.5300,Clostridia,0.5300,Clostridiales,0.5300,Clostridiaceae_3,0.3700,Brassicibacter,0.3700
Otu658,Bacteria,1.0000,Firmicutes,0.9800,Erysipelotrichia,0.9200,Erysipelotrichales,0.9200,Erysipelotrichaceae,0.9200,Faecalicoccus,0.6400
Otu655,Bacteria,1.0000,Firmicutes,0.9700,Bacilli,0.8400,Lactobacillales,0.8300,Lactobacillaceae,0.7800,Bombilactobacillus,0.6600
Otu660,Bacteria,1.0000,Bacteroidetes,0.5300,Clostridia,0.4700,Clostridiales,0.4700,Muribaculaceae,0.4400,Paramuribaculum,0.4400
