seqid,ZOTU,count,rel_ab,spike_count,abs_ab,mouse_type,polysacc,replicate,order,family,genus
psac02.027,Otu1180,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1292,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1589,0,0,9720,0,JC,arabinogalactan,1,Clostridiales,Ruminococcaceae,Faecalibacterium
psac02.027,Otu1615,0,0,9720,0,JC,arabinogalactan,1,Clostridiales,Ruminococcaceae,Faecalibacterium
psac02.027,Otu1456,0,0,9720,0,JC,arabinogalactan,1,Mycobacteriales,Corynebacteriaceae,Corynebacterium
psac02.027,Otu2071,0,0,9720,0,JC,arabinogalactan,1,Clostridiales,Ruminococcaceae,Faecalibacterium
psac02.027,Otu1822,0,0,9720,0,JC,arabinogalactan,1,Pseudomonadales,Moraxellaceae,Acinetobacter
psac02.027,Otu1363,0,0,9720,0,JC,arabinogalactan,1,Clostridiales,Peptostreptococcaceae,Paraclostridium
psac02.027,Otu2023,0,0,9720,0,JC,arabinogalactan,1,Clostridiales,Lachnospiraceae,Coprococcus
psac02.027,Otu1216,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1923,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1967,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1604,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1560,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1266,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu620,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Odoribacteraceae,Butyricimonas
psac02.027,Otu1757,0,0,9720,0,JC,arabinogalactan,1,Rhizobiales,Methylobacteriaceae,Methylobacterium
psac02.027,Otu1806,0,0,9720,0,JC,arabinogalactan,1,Coriobacteriales,Coriobacteriaceae,Collinsella
psac02.027,Otu1383,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1564,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1788,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1316,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1928,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1761,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1673,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1463,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1620,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1562,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu2190,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu2193,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1644,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1073,0,0,9720,0,JC,arabinogalactan,1,Clostridiales,Lachnospiraceae,Falcatimonas
psac02.027,Otu935,0,0,9720,0,JC,arabinogalactan,1,Lactobacillales,Streptococcaceae,Streptococcus
psac02.027,Otu1892,0,0,9720,0,JC,arabinogalactan,1,Mycobacteriales,Corynebacteriaceae,Corynebacterium
psac02.027,Otu2064,0,0,9720,0,JC,arabinogalactan,1,Mycobacteriales,Corynebacteriaceae,Corynebacterium
psac02.027,Otu1980,0,0,9720,0,JC,arabinogalactan,1,Clostridiales,Peptostreptococcaceae,Paeniclostridium
psac02.027,Otu1591,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu2041,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1979,0,0,9720,0,JC,arabinogalactan,1,Enterobacterales,Erwiniaceae,Mixta
psac02.027,Otu1799,0,0,9720,0,JC,arabinogalactan,1,Micrococcales,Micrococcaceae,Micrococcus
psac02.027,Otu1784,0,0,9720,0,JC,arabinogalactan,1,Neisseriales,Neisseriaceae,Neisseria
psac02.027,Otu2046,0,0,9720,0,JC,arabinogalactan,1,Flavobacteriales,Weeksellaceae,Chryseobacterium
psac02.027,Otu2181,0,0,9720,0,JC,arabinogalactan,1,Enterobacterales,Enterobacteriaceae,Klebsiella
psac02.027,Otu1809,0,0,9720,0,JC,arabinogalactan,1,Enterobacterales,Pectobacteriaceae,Pectobacterium
psac02.027,Otu1625,0,0,9720,0,JC,arabinogalactan,1,Pseudonocardiales,Pseudonocardiaceae,Prauserella
psac02.027,Otu1767,0,0,9720,0,JC,arabinogalactan,1,Rubrobacterales,Rubrobacteraceae,Rubrobacter
psac02.027,Otu2019,0,0,9720,0,JC,arabinogalactan,1,Pseudomonadales,Pseudomonadaceae,Azotobacter
psac02.027,Otu1977,0,0,9720,0,JC,arabinogalactan,1,Bacillales,Bacillaceae_2,Salinibacillus
psac02.027,Otu1858,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1896,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1703,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu2013,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu2042,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu2056,0,0,9720,0,JC,arabinogalactan,1,Clostridiales,Ruminococcaceae,Faecalibacterium
psac02.027,Otu2160,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Prevotellaceae,Prevotella
psac02.027,Otu1759,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1476,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1352,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1877,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1975,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1649,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
psac02.027,Otu1633,0,0,9720,0,JC,arabinogalactan,1,Bacteroidales,Porphyromonadaceae,Parabacteroides
