OTU,d0_otu_biomass,d0_total_biomass,d0_scaled_biomass,early_otu_biomass,early_total_biomass,early_scaled_biomass,late_otu_biomass,late_total_biomass,late_scaled_biomass,early_delta,late_delta,early_type,late_type,genus,family
Otu91,0,0.79096651724274,0,0.000455510513714748,0.70837687558537,0.000643034138202683,0.0172054646061839,0.843305172427757,0.0204024179724308,0.000455510513714748,0.0167499540924691,Gained,Gained,Faecalibaculum,Erysipelotrichaceae
Otu133,0,0.79096651724274,0,0,0.70837687558537,0,0.0000520591877786628,0.843305172427757,0.0000617323235772309,0,0.0000520591877786628,Displaced,Gained,Enterocloster,Lachnospiraceae
Otu53,0,0.79096651724274,0,0.00000679976064842518,0.70837687558537,0.00000959907202335785,0,0.843305172427757,0,0.00000679976064842518,-0.00000679976064842518,Gained,Displaced,Enterocloster,Lachnospiraceae
Otu166,0.0000083948959032908,0.79096651724274,0.0000106134655769689,0,0.70837687558537,0,0.00226680697340617,0.843305172427757,0.00268800316601919,-0.0000083948959032908,0.00226680697340617,Displaced,Gained,Acetatifactor,Lachnospiraceae
Otu66,0,0.79096651724274,0,0.0000265432690461914,0.70837687558537,0.000037470547050618,0.0076441463530917,0.843305172427757,0.00906450784724263,0.0000265432690461914,0.00761760308404551,Gained,Gained,Anaerosporobacter,Lachnospiraceae
Otu69,0.000016126456132145,0.79096651724274,0.0000203882917678498,0.0000673418329367424,0.70837687558537,0.0000950649791907651,0.00285276292821954,0.843305172427757,0.00338283580071831,0.0000512153768045974,0.0027854210952828,Gained,Gained,Enterocloster,Lachnospiraceae
Otu87,0.0000083948959032908,0.79096651724274,0.0000106134655769689,0,0.70837687558537,0,0.00000974334693123258,0.843305172427757,0.0000115537616153626,-0.0000083948959032908,0.00000974334693123258,Displaced,Gained,Cuneatibacter,Lachnospiraceae
Otu157,0,0.79096651724274,0,0.00000673455094014331,0.70837687558537,0.00000950701691748222,0.00259158443662221,0.843305172427757,0.00307312764270306,0.00000673455094014331,0.00258484988568206,Gained,Gained,Anaerosporobacter,Lachnospiraceae
Otu387,0,0.79096651724274,0,0,0.70837687558537,0,0,0.843305172427757,0,0,0,Displaced,Displaced,Enterocloster,Lachnospiraceae
Otu27,0.00000773156022885418,0.79096651724274,0.0000097748261908809,0.00430223754019953,0.70837687558537,0.00607337377669811,0.0266279251703218,0.843305172427757,0.0315756692131554,0.00429450597997067,0.0223256876301223,Gained,Gained,Duncaniella,Muribaculaceae
Otu161,0,0.79096651724274,0,0.0000360874832351168,0.70837687558537,0.0000509439035616398,0.00000514699827060858,0.843305172427757,0.00000610336381050658,0.0000360874832351168,-0.0000309404849645083,Gained,Displaced,Roseburia,Lachnospiraceae
Otu13,0.0000139792898443948,0.79096651724274,0.0000176736809203072,0.00813868310204185,0.70837687558537,0.0114891992984898,0.037042025013805,0.843305172427757,0.0439248165728265,0.00812470381219746,0.0289033419117632,Gained,Gained,Muribaculum,Muribaculaceae
Otu42,0.00000785694082152173,0.79096651724274,0.00000993334186750476,0.0132718290653468,0.70837687558537,0.0187355481563109,0.00971787940400745,0.843305172427757,0.0115235619580407,0.0132639721245253,-0.00355394966133932,Gained,Displaced,Barnesiella,Muribaculaceae
Otu2,0.0000768348164165687,0.79096651724274,0.0000971404158603452,0.0557996892935953,0.70837687558537,0.0787711897674313,0.074867257287994,0.843305172427757,0.0887783684196572,0.0557228544771787,0.0190675679943987,Gained,Gained,Prevotella,Prevotellaceae
Otu29,0.00000785694082152173,0.79096651724274,0.00000993334186750476,0.0687375887246776,0.70837687558537,0.0970353368295316,0.0327221216369873,0.843305172427757,0.0388022304461681,0.0687297317838561,-0.0360154670876903,Gained,Displaced,Barnesiella,Barnesiellaceae
Otu89,0.00000785694082152173,0.79096651724274,0.00000993334186750476,0.00848097388811962,0.70837687558537,0.0119724036461683,0.00402951769023816,0.843305172427757,0.00477824377459674,0.0084731169472981,-0.00445145619788146,Gained,Displaced,Duncaniella,Muribaculaceae
Otu93,0.000021710850073249,0.79096651724274,0.0000274485071111881,0.0000292877225866917,0.70837687558537,0.000041344831538282,0.0000141039895155238,0.843305172427757,0.0000167246567158131,0.00000757687251344265,-0.0000151837330711679,Gained,Displaced,Enterocloster,Lachnospiraceae
Otu62,0.0000318403377751884,0.79096651724274,0.0000402549755028593,0.0172983132107657,0.70837687558537,0.0244196469520143,0.0193134022950803,0.843305172427757,0.0229020322968964,0.0172664728729905,0.00201508908431458,Gained,Gained,Lactobacillus,Lactobacillaceae
Otu46,0.0000403606142711468,0.79096651724274,0.0000510269567564521,0.0216223390557885,0.70837687558537,0.0305237787977209,0.0132142925741421,0.843305172427757,0.0156696448761247,0.0215819784415174,-0.00840804648164642,Gained,Displaced,Limosilactobacillus,Lactobacillaceae
Otu70,0.000630553808329762,0.79096651724274,0.000797194058893711,0.00188421323690437,0.70837687558537,0.00265990223826454,0.00265025941466198,0.843305172427757,0.00314270503883221,0.0012536594285746,0.00076604617775761,Gained,Gained,Enterocloster,Lachnospiraceae
Otu112,0.000246252997806797,0.79096651724274,0.000311331759864147,0.0000337379644089984,0.70837687558537,0.0000476271396932867,0.00164079429134994,0.843305172427757,0.00194567084964785,-0.000212515033397799,0.00160705632694094,Displaced,Gained,Butyrivibrio,Lachnospiraceae
Otu148,0.00106483814174142,0.79096651724274,0.001346249327283,0.00187123802127411,0.70837687558537,0.00264158541274771,0.00543934879447233,0.843305172427757,0.00645003608695202,0.000806399879532694,0.00356811077319822,Gained,Gained,Clostridium_XlVa,Lachnospiraceae
Otu41,0.0000535511878484375,0.79096651724274,0.0000677034826140474,0.0278272533195733,0.70837687558537,0.0392831193093057,0.0390936296328284,0.843305172427757,0.0463576305601012,0.0277737021317249,0.0112663763132551,Gained,Gained,Muribaculum,Muribaculaceae
Otu97,0.000346910600151178,0.79096651724274,0.000438590752691386,0.00029995966615274,0.70837687558537,0.000423446440010999,0.00207145385043746,0.843305172427757,0.00245635141128572,-0.0000469509339984379,0.00177149418428472,Displaced,Gained,Flavonifractor,Ruminococcaceae
