OTU,MouseGroup,group_Count,Instances_OTU,Class,Order,Family,prop_OTU,alpha
Otu16,JEE,0.00286412771456748,0.0887879591515917,Bacteroidia,Bacteroidales,Muribaculaceae,0.739899659596598,1
Otu16,JEJ,0.000500886633857246,0.371156995688219,Bacteroidia,Bacteroidales,Muribaculaceae,2.31973122305137,1
Otu161,E,0.00326605729741686,0.0914496043276721,Clostridia,Clostridiales,Ruminococcaceae,0.571560027047951,1
Otu161,JEE,0.00105882970764129,0.0338825506445212,Clostridia,Clostridiales,Ruminococcaceae,0.282354588704343,0.01
Otu161,JEJ,0.00161203745864826,0.0209564869624274,Clostridia,Clostridiales,Ruminococcaceae,0.130978043515171,0.01
Otu161,J,0.000679620524646205,0.00543696419716964,Clostridia,Clostridiales,Ruminococcaceae,0.0339810262323102,0.01
Otu164,E,0.00612191112453282,0.0979505779925251,Clostridia,Clostridiales,Lachnospiraceae,0.612191112453282,1
Otu164,JEE,0.000817554214293345,0.00327021685717338,Clostridia,Clostridiales,Lachnospiraceae,0.0272518071431115,0.01
Otu164,JEJ,0.00203750197933406,0.0163000158346725,Clostridia,Clostridiales,Lachnospiraceae,0.101875098966703,0.01
Otu164,J,0.00142543727542308,0.0285087455084616,Clostridia,Clostridiales,Lachnospiraceae,0.178179659427885,0.01
Otu165,E,0.00355329919714118,0.0923857791256707,Clostridia,Clostridiales,Lachnospiraceae,0.577411119535442,1
Otu165,JEE,0.0047555778893819,0.0332890452256733,Clostridia,Clostridiales,Lachnospiraceae,0.277408710213944,0.01
Otu167,E,0.00448266320866922,0.0358613056693538,Clostridia,Clostridiales,Lachnospiraceae,0.224133160433461,0.01
Otu167,JEE,0.0107200183444164,0.0214400366888328,Clostridia,Clostridiales,Lachnospiraceae,0.17866697240694,0.01
Otu167,JEJ,0.00122553431496082,0.00490213725984328,Clostridia,Clostridiales,Lachnospiraceae,0.0306383578740205,0.01
Otu168,J,0.00100910742360924,0.0262367930138404,Clostridia,Clostridiales,Ruminococcaceae,0.163979956336502,0.01
Otu169,E,0.000350093219363168,0.00140037287745267,Clostridia,Clostridiales,Lachnospiraceae,0.00875233048407921,0.01
Otu169,JEE,0.00340463336941792,0.0102139001082538,Clostridia,Clostridiales,Lachnospiraceae,0.0851158342354481,0.01
Otu169,JEJ,0.000360962748498493,0.00685829222147136,Clostridia,Clostridiales,Lachnospiraceae,0.042864326384196,0.01
Otu169,J,0.00129870793415472,0.04675348562957,Clostridia,Clostridiales,Lachnospiraceae,0.292209285184813,0.01
Otu17,E,0.000373090463804446,0.0126850757693512,Clostridia,Clostridiales,Ruminococcaceae,0.0792817235584448,0.01
Otu17,JEE,0.00501256281407035,0.0100251256281407,Clostridia,Clostridiales,Ruminococcaceae,0.0835427135678392,0.01
Otu17,JEJ,0.0012451640943702,0.194245598721751,Clostridia,Clostridiales,Ruminococcaceae,1.21403499201094,1
Otu17,J,0.000949844719821147,0.60505108652607,Clostridia,Clostridiales,Ruminococcaceae,3.78156929078794,1
Otu170,E,0.00487451460419685,0.107239321292331,Clostridia,Clostridiales,Lachnospiraceae,0.670245758077067,1
Otu170,JEE,0.000732721577571576,0.00366360788785788,Clostridia,Clostridiales,Lachnospiraceae,0.030530065732149,0.01
Otu170,JEJ,0.000251717763329773,0.00805496842655273,Clostridia,Clostridiales,Lachnospiraceae,0.0503435526659545,0.01
Otu170,J,0.00124871683735538,0.0312179209338844,Clostridia,Clostridiales,Lachnospiraceae,0.195112005836778,0.01
Otu172,E,0.00393607004089353,0.0629771206542965,Clostridia,Clostridiales,Lachnospiraceae,0.393607004089353,0.01
Otu172,JEE,0.000549018381557523,0.00658822057869027,Clostridia,Clostridiales,Lachnospiraceae,0.0549018381557523,0.01
Otu178,JEJ,0.00194247996228194,0.00388495992456388,Clostridia,Clostridiales,Lachnospiraceae,0.0242809995285243,0.01
Otu178,J,0.00107169984834994,0.0150037978768991,Clostridia,Clostridiales,Lachnospiraceae,0.0937737367306194,0.01
Otu18,E,0.000744690384676973,0.170534098091027,Bacteroidia,Bacteroidales,Prevotellaceae,1.06583811306892,1
Otu18,JEE,0.00104536579618975,0.260296083251248,Bacteroidia,Bacteroidales,Prevotellaceae,2.16913402709374,1
Otu18,JEJ,0.000446236769432492,0.463193766670927,Bacteroidia,Bacteroidales,Prevotellaceae,2.89496104169329,1
Otu180,J,0.000898064608032735,0.0341264551052439,Clostridia,Clostridiales,Lachnospiraceae,0.213290344407775,0.01
Otu181,E,0.000553458348966668,0.0221383339586667,Clostridia,Clostridiales,Lachnospiraceae,0.138364587241667,0.01
Otu183,E,0.00303951367781155,0.0243161094224924,Clostridia,Clostridiales,Lachnospiraceae,0.151975683890578,0.01
Otu189,E,0.00349855646295625,0.0769682421850375,Clostridia,Clostridiales,Lachnospiraceae,0.481051513656485,0.01
Otu189,JEE,0.00259438724005653,0.0155663234403392,Clostridia,Clostridiales,Lachnospiraceae,0.129719362002827,0.01
Otu189,JEJ,0.000446807169421273,0.00804252904958292,Clostridia,Clostridiales,Lachnospiraceae,0.0502658065598932,0.01
Otu189,J,0.000642460772357574,0.00385476463414544,Clostridia,Clostridiales,Lachnospiraceae,0.024092278963409,0.01
Otu19,E,0.000449273154725042,0.328418676104006,Bacteroidia,Bacteroidales,Dysgonomonadaceae,2.05261672565004,1
Otu19,JEE,0.00254867441154686,0.124885046165796,Bacteroidia,Bacteroidales,Dysgonomonadaceae,1.0407087180483,1
Otu19,JEJ,0.00261830946822723,0.594356249287581,Bacteroidia,Bacteroidales,Dysgonomonadaceae,3.71472655804738,1
Otu192,JEJ,0.000748567332707393,0.00299426933082957,Clostridia,Clostridiales,Lachnospiraceae,0.0187141833176848,0.01
Otu192,J,0.000841184784321292,0.0614064892554543,Clostridia,Clostridiales,Lachnospiraceae,0.38379055784659,0.01
Otu2,E,0.000850425498892333,1.90580354301772,Bacteroidia,Bacteroidales,Muribaculaceae,11.9112721438607,1
Otu2,JEE,0.000867433896756182,0.885650008588062,Bacteroidia,Bacteroidales,Muribaculaceae,7.38041673823385,1
Otu2,JEJ,0.00101470050486251,1.71890265523709,Bacteroidia,Bacteroidales,Muribaculaceae,10.7431415952318,1
Otu20,E,0.00194178747574519,0.0194178747574519,Clostridia,Clostridiales,Ruminococcaceae,0.121361717234075,0.01
Otu20,JEJ,0.000271600350453966,0.000543200700907933,Clostridia,Clostridiales,Ruminococcaceae,0.00339500438067458,0.01
Otu20,J,0.000652861919932188,0.537305360104191,Clostridia,Clostridiales,Ruminococcaceae,3.35815850065119,1
Otu20,JEE,0.0003933910306845,0.0003933910306845,Clostridia,Clostridiales,Ruminococcaceae,0.0032782585890375,0.01
Otu21,E,0.0011738218531836,0.350972734101896,Bacteroidia,Bacteroidales,Porphyromonadaceae,2.19357958813685,1
Otu21,JEE,0.0014341101938504,0.304031361096284,Bacteroidia,Bacteroidales,Porphyromonadaceae,2.53359467580237,1
Otu21,JEJ,0.000607031643282119,0.217924359938281,Bacteroidia,Bacteroidales,Porphyromonadaceae,1.36202724961425,1
Otu22,JEJ,0.000450178958787488,0.0396157483732989,Clostridia,Clostridiales,Clostridiaceae_1,0.247598427333118,0.01
Otu22,J,0.000932644294675498,0.251813959562385,Clostridia,Clostridiales,Clostridiaceae_1,1.5738372472649,1
Otu23,E,0.00039752057971106,0.013118179130465,Clostridia,Clostridiales,Ruminococcaceae,0.0819886195654062,0.01
Otu23,JEE,0.00120720281909568,0.0241440563819135,Clostridia,Clostridiales,Ruminococcaceae,0.201200469849279,0.01
Otu23,JEJ,0.000662424509761749,0.11724913822783,Clostridia,Clostridiales,Ruminococcaceae,0.732807113923935,1
Otu23,J,0.00107321913669529,0.297281700864596,Clostridia,Clostridiales,Ruminococcaceae,1.85801063040372,1
Otu24,E,0.00101387350535705,0.45725695091603,Bacilli,Lactobacillales,Lactobacillaceae,2.85785594322519,1
Otu24,JEE,0.00197394817348953,0.1697595429201,Bacilli,Lactobacillales,Lactobacillaceae,1.4146628576675,1
Otu24,JEJ,0.000706437268271523,0.0515699205838212,Bacilli,Lactobacillales,Lactobacillaceae,0.322312003648882,0.01
Otu25,E,0.000603055100731647,0.271977850429973,Bacteroidia,Bacteroidales,Dysgonomonadaceae,1.69986156518733,1
Otu25,JEE,0.000963792492541568,0.207215385896437,Bacteroidia,Bacteroidales,Dysgonomonadaceae,1.72679488247031,1
Otu25,JEJ,0.00106290952297517,0.225336818870737,Bacteroidia,Bacteroidales,Dysgonomonadaceae,1.40835511794211,1
Otu25,J,0.000921791408132679,0.0110614968975921,Bacteroidia,Bacteroidales,Dysgonomonadaceae,0.0691343556099509,0.01
Otu26,JEE,0.00170888571932937,0.0170888571932937,Mollicutes,Acholeplasmatales,Acholeplasmataceae,0.142407143277447,0.01
Otu26,JEJ,0.000693726643700305,0.0194243460236086,Mollicutes,Acholeplasmatales,Acholeplasmataceae,0.121402162647553,0.01
Otu26,J,0.000676268147406596,0.656656371131804,Mollicutes,Acholeplasmatales,Acholeplasmataceae,4.10410231957378,1
Otu27,E,0.00118438345385202,0.0935662928543096,Clostridia,Clostridiales,Lachnospiraceae,0.584789330339435,1
Otu27,JEE,0.00352625427349833,0.144576425213432,Clostridia,Clostridiales,Lachnospiraceae,1.20480354344526,1
Otu27,JEJ,0.000425351755254912,0.0068056280840786,Clostridia,Clostridiales,Lachnospiraceae,0.0425351755254912,0.01
Otu27,J,0.00124884849577674,0.454580852462732,Clostridia,Clostridiales,Lachnospiraceae,2.84113032789208,1
Otu28,E,0.000956694352255623,0.134893903668043,Bacteroidia,Bacteroidales,Dysgonomonadaceae,0.843086897925267,1
Otu28,JEE,0.000572724305265913,0.150053767979669,Bacteroidia,Bacteroidales,Dysgonomonadaceae,1.25044806649724,1
Otu28,JEJ,0.000288621486826858,0.264954524907055,Bacteroidia,Bacteroidales,Dysgonomonadaceae,1.6559657806691,1
Otu29,E,0.000563546398564827,0.12961567166991,Bacteroidia,Bacteroidales,Porphyromonadaceae,0.810097947936939,1
Otu29,JEE,0.000916622692151886,0.127410554209112,Bacteroidia,Bacteroidales,Porphyromonadaceae,1.06175461840927,1
Otu29,JEJ,0.0004143392527191,0.215042072161213,Bacteroidia,Bacteroidales,Porphyromonadaceae,1.34401295100758,1
Otu3,E,0.00130127691751381,0.454145644212319,Bacteroidia,Bacteroidales,Muribaculaceae,2.83841027632699,1
Otu3,JEE,0.00103381805102107,0.420763946765574,Bacteroidia,Bacteroidales,Muribaculaceae,3.50636622304645,1
Otu3,JEJ,0.000674086525263143,0.38827383855157,Bacteroidia,Bacteroidales,Muribaculaceae,2.42671149094732,1
Otu30,E,0.000610566447550969,0.0415185184334659,Clostridia,Clostridiales,Lachnospiraceae,0.259490740209162,0.01
Otu30,JEE,0.00283490695772969,0.130405720055566,Clostridia,Clostridiales,Lachnospiraceae,1.08671433379638,1
Otu30,JEJ,0.000960779902462053,0.437154855620234,Clostridia,Clostridiales,Lachnospiraceae,2.73221784762646,1
Otu30,J,0.00105755011180328,0.328898084770821,Clostridia,Clostridiales,Lachnospiraceae,2.05561302981763,1
Otu31,E,0.00105613523552491,0.128848498734038,Bacteroidia,Bacteroidales,Muribaculaceae,0.80530311708774,1
Otu31,JEE,0.00248390508059411,0.0894205829013881,Bacteroidia,Bacteroidales,Muribaculaceae,0.745171524178234,1
Otu31,JEJ,0.000457445098291395,0.192126941282386,Bacteroidia,Bacteroidales,Muribaculaceae,1.20079338301491,1
Otu32,E,0.000641810981429571,0.0680319640315346,Bacteroidia,Bacteroidales,Bacteroidaceae,0.425199775197091,0.01
Otu32,JEE,0.000565613017043086,0.0893668566928076,Bacteroidia,Bacteroidales,Bacteroidaceae,0.744723805773396,1
Otu32,JEJ,0.000561744876749212,0.405579801012931,Bacteroidia,Bacteroidales,Bacteroidaceae,2.53487375633082,1
Otu33,E,0.00409935523651563,0.0901858152033439,Clostridia,Clostridiales,Lachnospiraceae,0.563661345020899,1
Otu33,JEE,0.00200855567060744,0.186795677366492,Clostridia,Clostridiales,Lachnospiraceae,1.55663064472077,1
Otu33,JEJ,0.00291573731734246,0.224511773435369,Clostridia,Clostridiales,Lachnospiraceae,1.40319858397106,1
Otu33,J,0.00108425137192173,0.417436778189868,Clostridia,Clostridiales,Lachnospiraceae,2.60897986368667,1
Otu34,E,0.000602723818101468,0.194077069428673,Clostridia,Clostridiales,Eubacteriaceae,1.2129816839292,1
Otu34,JEE,0.00107815042734663,0.0991898393158902,Clostridia,Clostridiales,Eubacteriaceae,0.826581994299085,1
Otu34,JEJ,0.000626654627288064,0.355313173672332,Clostridia,Clostridiales,Eubacteriaceae,2.22070733545207,1
Otu35,JEJ,0.000231443545769749,0.000462887091539497,Clostridia,Clostridiales,Lachnospiraceae,0.00289304432212186,0.01
Otu35,J,0.00100705944340932,0.320244903004164,Clostridia,Clostridiales,Lachnospiraceae,2.00153064377602,1
Otu36,E,0.000559956098298693,0.311335590654073,Bacilli,Lactobacillales,Lactobacillaceae,1.94584744158796,1
Otu36,JEE,0.00267053763634087,0.106821505453635,Bacilli,Lactobacillales,Lactobacillaceae,0.890179212113624,1
Otu36,JEJ,0.000788266847069301,0.243574455744414,Bacilli,Lactobacillales,Lactobacillaceae,1.52234034840259,1
Otu37,E,0.000829841466474934,0.118667329705915,Bacteroidia,Bacteroidales,Bacteroidaceae,0.741670810661972,1
Otu37,JEE,0.000612806536874818,0.225512805569933,Bacteroidia,Bacteroidales,Bacteroidaceae,1.87927337974944,1
Otu37,JEJ,0.000321380593029115,0.162618580072732,Bacteroidia,Bacteroidales,Bacteroidaceae,1.01636612545458,1
Otu38,E,0.000671909328730845,0.227777262439756,Bacteroidia,Bacteroidales,Porphyromonadaceae,1.42360789024848,1
Otu38,JEE,0.00158906142851017,0.0111234299995712,Bacteroidia,Bacteroidales,Porphyromonadaceae,0.0926952499964268,0.01
