seqid,date,day,status,cage,tx_group,mouse_type,mouse_num,mark,collector,sample_location,sample_type,pre_weight,post_weight,sample_weight,successful_seq,s3_GU_R1_bucket_path,s3_GU_R2_bucket_path
jxesac.005,4/30/21,32,sac,JC1,jax_control,jax,J1,none,TM/GU,ileum,lumen,0.9879,1.0208,0.0329,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-005_S3_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-005_S3_L001_R2_001.fastq.gz
jxesac.020,4/30/21,32,sac,JC1,jax_control,jax,J2,black,TM/GU,ileum,lumen,0.9893,1.0396,0.0503,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-020_S8_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-020_S8_L001_R2_001.fastq.gz
jxesac.035,4/30/21,32,sac,JC2,jax_control,jax,J3,red,TM/GU,ileum,lumen,0.9851,1.0342,0.0491,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-035_S13_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-035_S13_L001_R2_001.fastq.gz
jxesac.050,4/30/21,32,sac,JC2,jax_control,jax,J4,green,TM/GU,ileum,lumen,0.9834,1.0309,0.0475,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-050_S18_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-050_S18_L001_R2_001.fastq.gz
jxesac.065,4/30/21,32,sac,EC1,envigo_control,envigo,E1,none,TM/GU,ileum,lumen,0.9884,1.0409,0.0525,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-065_S23_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-065_S23_L001_R2_001.fastq.gz
jxesac.080,4/30/21,32,sac,EC1,envigo_control,envigo,E2,black,TM/GU,ileum,lumen,0.9889,1.0186,0.0297,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-080_S28_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-080_S28_L001_R2_001.fastq.gz
jxesac.095,4/30/21,32,sac,EC2,envigo_control,envigo,E3,red,TM/GU,ileum,lumen,0.9828,1.0288,0.046,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-095_S33_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-095_S33_L001_R2_001.fastq.gz
jxesac.110,4/30/21,32,sac,EC2,envigo_control,envigo,E4,green,TM/GU,ileum,lumen,0.978,1.01,0.032,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-110_S38_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-110_S38_L001_R2_001.fastq.gz
jxesac.125,4/30/21,32,sac,JE1,jax_envigo_mix,jax,J5,none,TM/GU,ileum,lumen,0.9749,1.0194,0.0445,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-125_S43_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-125_S43_L001_R2_001.fastq.gz
jxesac.141,4/30/21,32,sac,JE2,jax_envigo_mix,jax,J6,black,TM/GU,ileum,lumen,0.9734,1.0078,0.0344,TRUE,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-141_S48_L001_R1_001.fastq.gz,20210530_FMT_Redo_Lumen_Culturomics_TUM_Cibio/raw_data/JXE_ENVC_CQ_GU_TUM-266926673/jxesac-141_S48_L001_R2_001.fastq.gz
