index,score,group,family,module_category,module,percentage
131,20.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00577,0.20461811722912968
132,20.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00741,0.21314387211367672
133,20.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00119,0.22095914742451153
134,20.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00011,0.22095914742451153
135,20.87,AZC3J,Muribaculaceae,Glycan metabolism,M00063,0.230550621669627
136,20.87,AZC3J,Muribaculaceae,Energy metabolism,M00167,0.2344582593250444
137,20.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00950,0.2344582593250444
138,20.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00124,0.24014209591474245
139,20.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00552,0.24014209591474245
140,21.87,AZC3J,Muribaculaceae,Amino acid metabolism,M00022,0.014209591474245116
141,21.87,AZC3J,Muribaculaceae,Lipid metabolism,M00082,0.020959147424511545
142,21.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00120,0.030905861456483125
143,21.87,AZC3J,Muribaculaceae,Energy metabolism,M00166,0.035879218472468916
144,21.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00899,0.04049733570159858
145,21.87,AZC3J,Muribaculaceae,Energy metabolism,M00345,0.045115452930728245
146,21.87,AZC3J,Muribaculaceae,Nucleotide metabolism,M00051,0.06465364120781528
147,21.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00003,0.07708703374777975
148,21.87,AZC3J,Muribaculaceae,Nucleotide metabolism,M00048,0.10230905861456484
149,21.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00549,0.10905861456483126
150,21.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00855,0.11616341030195382
151,21.87,AZC3J,Muribaculaceae,Energy metabolism,M00173,0.14813499111900533
152,21.87,AZC3J,Muribaculaceae,Energy metabolism,M00169,0.15062166962699822
153,21.87,AZC3J,Muribaculaceae,Amino acid metabolism,M00621,0.15950266429840143
154,21.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00115,0.16873889875666073
155,21.87,AZC3J,Muribaculaceae,Nucleotide metabolism,M00052,0.17406749555950266
156,21.87,AZC3J,Muribaculaceae,Biosynthesis of terpenoids and polyketides,M00793,0.1847246891651865
157,21.87,AZC3J,Muribaculaceae,Gene set,M00627,0.1936056838365897
158,21.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00123,0.20461811722912968
159,21.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00577,0.20461811722912968
160,21.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00741,0.21314387211367672
161,21.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00119,0.22095914742451153
162,21.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00011,0.22095914742451153
163,21.87,AZC3J,Muribaculaceae,Glycan metabolism,M00063,0.230550621669627
164,21.87,AZC3J,Muribaculaceae,Energy metabolism,M00167,0.2344582593250444
165,21.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00950,0.2344582593250444
166,21.87,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00124,0.24014209591474245
167,21.87,AZC3J,Muribaculaceae,Carbohydrate metabolism,M00552,0.24014209591474245
168,21.9,AZC3J,Muribaculaceae,Amino acid metabolism,M00022,0.014209591474245116
169,21.9,AZC3J,Muribaculaceae,Lipid metabolism,M00082,0.020959147424511545
170,21.9,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00120,0.030905861456483125
171,21.9,AZC3J,Muribaculaceae,Energy metabolism,M00166,0.035879218472468916
172,21.9,AZC3J,Muribaculaceae,Metabolism of cofactors and vitamins,M00899,0.04049733570159858
173,21.9,AZC3J,Muribaculaceae,Energy metabolism,M00345,0.045115452930728245
174,21.9,AZC3J,Muribaculaceae,Nucleotide metabolism,M00051,0.06465364120781528
