taxon,sample_id,tolerance,reaction,flux,abundance,metabolite,direction
medium,sample_15,1e-06,EX_lac__L_m,0.0121420248411186,,lac__L_m,export
medium,sample_15,1e-06,EX_for_m,0.04908255003990445,,for_m,export
medium,sample_15,1e-06,EX_h2o_m,3.47749376000648,,h2o_m,export
medium,sample_15,1e-06,EX_2mpa_m,11.730026905231805,,2mpa_m,export
medium,sample_15,1e-06,EX_fe3_m,-0.00607959824743225,,fe3_m,import
medium,sample_15,1e-06,EX_co2_m,31.20570517667664,,co2_m,export
medium,sample_15,1e-06,EX_nac_m,0.0719593497803181,,nac_m,export
medium,sample_15,1e-06,EX_isobuta_m,1.6217108782816543,,isobuta_m,export
medium,sample_15,1e-06,EX_h2s_m,-0.1920501010752113,,h2s_m,import
medium,sample_15,1e-06,EX_xan_m,-0.054624570231280124,,xan_m,import
medium,sample_15,1e-06,EX_adn_m,-0.011044776568592636,,adn_m,import
medium,sample_15,1e-06,EX_fe2_m,-0.0052294938549139434,,fe2_m,import
medium,sample_15,1e-06,EX_actn__R_m,0.0009185974875703744,,actn__R_m,export
medium,sample_15,1e-06,EX_etoh_m,0.04597928249000702,,etoh_m,export
medium,sample_15,1e-06,EX_csn_m,-0.014682269703531392,,csn_m,import
medium,sample_15,1e-06,EX_pydxn_m,-0.0009990154453563252,,pydxn_m,import
medium,sample_15,1e-06,EX_ncam_m,-0.043275269632776364,,ncam_m,import
medium,sample_15,1e-06,EX_lcts_m,-5.314936070503009,,lcts_m,import
medium,sample_15,1e-06,EX_acald_m,-0.0007517093755536277,,acald_m,import
medium,sample_15,1e-06,EX_dcyt_m,-0.010349027924057536,,dcyt_m,import
medium,sample_15,1e-06,EX_h_m,-3.242000577290312,,h_m,import
medium,sample_15,1e-06,EX_mg2_m,-0.006755329189110313,,mg2_m,import
medium,sample_15,1e-06,EX_pydam_m,-0.00099887915653288,,pydam_m,import
medium,sample_15,1e-06,EX_gthox_m,-0.0001985739617218434,,gthox_m,import
medium,sample_15,1e-06,EX_orn_m,-0.00015488149357373367,,orn_m,import
medium,sample_15,1e-06,EX_nmn_m,-0.030458655587084698,,nmn_m,import
medium,sample_15,1e-06,EX_cobalt2_m,-7.78715462001939e-05,,cobalt2_m,import
medium,sample_15,1e-06,EX_acgam_m,-0.004431183579455259,,acgam_m,import
medium,sample_15,1e-06,EX_acmana_m,-0.005002271810333646,,acmana_m,import
medium,sample_15,1e-06,EX_ocdcea_m,-0.4396538860038669,,ocdcea_m,import
medium,sample_15,1e-06,EX_so4_m,-0.0010012820304856943,,so4_m,import
medium,sample_15,1e-06,EX_ac_m,3.6899304281191343,,ac_m,export
medium,sample_15,1e-06,EX_4abz_m,-0.0004419658409397742,,4abz_m,import
medium,sample_15,1e-06,EX_zn2_m,-0.00026554198809345016,,zn2_m,import
medium,sample_15,1e-06,EX_succ_m,0.26554781265818106,,succ_m,export
medium,sample_15,1e-06,EX_ca2_m,-0.004053214603350256,,ca2_m,import
medium,sample_15,1e-06,EX_fad_m,0.003675320051798702,,fad_m,export
medium,sample_15,1e-06,EX_gua_m,-0.008757025371090481,,gua_m,import
