OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu1541,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Neglecta,0.9300
Otu1542,Bacteria,1.0000,Tenericutes,0.4800,Mollicutes,0.4800,Acholeplasmatales,0.3400,Acholeplasmataceae,0.3400,Acholeplasma,0.3400
Otu1543,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Flavonifractor,1.0000
Otu1544,Bacteria,1.0000,Firmicutes,0.9500,Clostridia,0.8700,Clostridiales,0.8700,Clostridiaceae_1,0.4300,Oxobacter,0.2200
Otu1545,Bacteria,1.0000,Firmicutes,0.7500,Clostridia,0.6000,Clostridiales,0.5900,Lachnospiraceae,0.2500,Clostridium_sensu_stricto,0.0800
Otu1546,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Neglecta,0.8800
Otu1547,Bacteria,1.0000,Firmicutes,0.6500,Clostridia,0.3100,Clostridiales,0.3100,Erysipelotrichaceae,0.2700,Acholeplasma,0.1500
Otu1548,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Clostridium_IV,0.7000
Otu1549,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9300,Clostridiales,0.9300,Clostridiaceae_2,0.5200,Alkaliphilus,0.5200
Otu1550,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Lawsonibacter,0.8900
Otu1551,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9900,Clostridiales,0.9900,Lachnospiraceae,0.4600,Tindallia,0.1200
Otu1552,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9200,Clostridiales,0.9200,Lachnospiraceae,0.2700,Alkaliphilus,0.1400
Otu1553,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Frisingicoccus,0.2900
Otu1554,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,0.9900,Phocea,0.5100
Otu1555,Bacteria,1.0000,Firmicutes,0.5900,Clostridia,0.5600,Clostridiales,0.5600,Lachnospiraceae,0.2500,Anaerostipes,0.2400
Otu1556,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Blautia,1.0000
Otu1557,Bacteria,1.0000,Firmicutes,0.9800,Clostridia,0.9500,Clostridiales,0.9500,Lachnospiraceae,0.2600,Vallitalea,0.1200
Otu1558,Bacteria,1.0000,Firmicutes,0.5600,Clostridia,0.3100,Clostridiales,0.3100,Acholeplasmataceae,0.2100,Acholeplasma,0.2100
