Otu562	Marvinbryantia	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu563	Alistipes	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae
Otu564	Lactonifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu565	Marvinbryantia	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu566	Acutalibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu567	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu568	Acetatifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu569	Eisenbergiella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu570	Eggerthella	Root	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae
Otu571	Catabacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Catabacteriaceae
Otu572	Ruminococcus2	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu573	Acetatifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu574	Flintibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu575	Acetatifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu576	Acetatifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu577	Eisenbergiella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu578	Agathobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu579	Muricomes	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu580	Cuneatibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu581	Extibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu582	Ihubacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu583	Ercella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu584	Dysosmobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu585	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu586	Clostridium IV	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu587	Staphylococcus	Root	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae
Otu588	Hydrogenoanaerobacterium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu589	Collinsella	Root	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae
Otu590	Ruminococcus2	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu591	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu592	Eisenbergiella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu593	Criibacterium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
Otu594	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu595	Acidaminobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XII
Otu596	Lactonifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu597	Butyricimonas	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae
Otu598	Parabacteroides	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
Otu599	Crassaminicella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 4
Otu600	Paludicola	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu601	Peptococcus	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae 1
Otu602	Stomatobaculum	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu603	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu604	Eisenbergiella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu605	Staphylococcus	Root	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae
Otu606	Oscillibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu607	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu608	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu609	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu610	Vampirovibrio	Root	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae
Otu611	Roseburia	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu612	Guggenheimella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XII
Otu613	Anaerovorax	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu614	Massilimicrobiota	Root	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Otu615	Muribaculum	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae
Otu616	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu617	Bacilliculturomica	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu618	Butyricicoccus	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu619	Vampirovibrio	Root	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae
Otu620	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu621	Robinsoniella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu622	Oscillibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu623	Guggenheimella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XII
Otu624	Faecalimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu625	Ihubacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu626	Anaerobutyricum	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu627	Eisenbergiella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu628	Kineothrix	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu629	Intestinimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu630	Aestuariispira	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae
Otu631	Agathobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu632	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu633	Eisenbergiella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu634	Abyssivirga	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu635	Criibacterium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
Otu636	Roseburia	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu637	Ruminococcus2	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu638	Robinsoniella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu639	Longibaculum	Root	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Otu640	Oscillibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu641	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu642	Mordavella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu643	Enterocloster	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu644	Kineothrix	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu645	Pseudoteredinibacter	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae
Otu646	Kineothrix	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu647	Dialister	Root	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae
Otu648	Falcatimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu649	Robinsoniella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu650	Intestinimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu651	Faecalimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu652	Abyssivirga	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu653	Ruminococcus2	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu654	Merdimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu655	Colidextribacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu656	Adlercreutzia	Root	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae
Otu657	Alterileibacterium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu658	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu659	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu660	Intestinimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu661	Lachnospiracea_incertae_sedis	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu662	Paludicola	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu663	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu664	Lachnotalea	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu665	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu666	Lachnospiracea_incertae_sedis	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu667	Criibacterium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
Otu668	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu669	Acetatifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu670	Longibaculum	Root	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Otu671	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu672	Ihubacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu673	Coprococcus	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu674	Kineothrix	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu675	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu676	Proteus	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae
Otu677	Olsenella	Root	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae
Otu678	Marvinbryantia	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu679	Frisingicoccus	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu680	Frisingicoccus	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu681	Amedibacillus	Root	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Otu682	Agathobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu683	Odoribacter	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae
Otu684	Flintibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu685	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu686	Flintibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu687	Clostridium IV	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu688	Anaerotruncus	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu689	Acidaminobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XII
Otu690	Clostridium IV	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu691	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu692	Lachnospiracea_incertae_sedis	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu693	Agathobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu694	Ihubacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu695	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu696	Clostridium XlVb	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu697	Amedibacillus	Root	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Otu698	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu699	Parabacteroides	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
Otu700	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu701	Acetatifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu702	Dendrosporobacter	Root	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Sporomusaceae
Otu703	Amedibacillus	Root	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Otu704	Dorea	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu705	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu706	Caproiciproducens	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu707	Clostridioides	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
Otu708	Ihubacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu709	Sellimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu710	Butyricimonas	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae
Otu711	Pseudobacteroides	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu712	Ruminococcus2	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu713	Clostridium XlVb	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu714	Sellimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu715	Enterocloster	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu716	Faecalibacterium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu717	Duncaniella	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae
Otu718	Catabacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Catabacteriaceae
Otu719	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu720	Intestinimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu721	Dorea	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu722	Bacilliculturomica	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu723	Criibacterium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
Otu724	Marinisporobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_incertae_sedis
Otu725	Flavonifractor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu726	Ruminococcus2	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu727	Neglecta	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu728	Duncaniella	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Muribaculaceae
Otu729	Lactonifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu730	Harryflintia	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu731	Cellulosibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu732	Kineothrix	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu733	Enterocloster	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu734	Senegalimassilia	Root	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae
Otu735	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu736	Mailhella	Root	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
Otu737	Parabacteroides	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
Otu738	Amedibacterium	Root	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Otu739	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu740	Abyssivirga	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu741	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu742	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu743	Ruminococcus2	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu744	Falcatimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu745	Meniscus	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae
Otu746	Oscillibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu747	Acetatifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu748	Neglecta	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu749	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu750	Blautia	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu751	Prevotella	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
Otu752	Clostridium IV	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu753	Alloprevotella	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
Otu754	Guggenheimella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XII
Otu755	Guggenheimella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XII
Otu756	Blautia	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu757	Cuneatibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu758	Lactonifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu759	Alistipes	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae
Otu760	Phocea	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu761	Dysosmobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu762	Blautia	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu763	Kineothrix	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu764	Acetatifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu765	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu766	Eisenbergiella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu767	Butyricicoccus	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu768	Sporobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu769	Cuneatibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu770	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu771	Butyricimonas	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae
Otu772	Frisingicoccus	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu773	Blautia	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu774	Lachnobacterium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu775	Maricurvus	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae
Otu776	Aestuariispira	Root	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae
Otu777	Enterocloster	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu778	Agathobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu779	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu780	Sporanaerobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Tissierellaceae
Otu781	Senegalimassilia	Root	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae
Otu782	Ihubacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu783	Enterocloster	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu784	Parabacteroides	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
Otu785	Acetatifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu786	Coprococcus	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu787	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu788	Butyricimonas	Root	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae
Otu789	Anaerovorax	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XIII
Otu790	Anaerobacterium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu791	Criibacterium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
Otu792	Longicatena	Root	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Otu793	Guggenheimella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae Sedis XII
Otu794	Lactonifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu795	Eisenbergiella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu796	Ruminococcus2	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu797	Ruminococcus2	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu798	Intestinimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu799	Mordavella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu800	Cuneatibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu801	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu802	Lutispora	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Gracilibacteraceae
Otu803	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu804	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu805	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu806	Anaerobium	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu807	Paraeggerthella	Root	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae
Otu808	Lawsonibacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu809	Pseudoteredinibacter	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae
Otu810	Clostridium XlVa	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu811	Acetatifactor	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu812	Longicatena	Root	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Otu813	Agathobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu814	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu815	Abyssivirga	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu816	Hungatella	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu817	Sporobacter	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Otu818	Merdimonas	Root	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Otu819	Maricurvus	Root	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae
Otu820	Senegalimassilia	Root	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae
