gene,postFMT_2_jejunum
gene_3944013,912
gene_3359669,912
gene_3209099,911
gene_3443561,910
gene_3269065,908
gene_4367107,908
gene_4130003,906
gene_3930784,903
gene_4299283,903
gene_4467506,902
gene_4149989,899
gene_4321820,897
gene_4120103,896
gene_3971172,896
gene_3387999,895
gene_3805266,895
gene_2658003,895
gene_2844581,893
gene_4216341,889
gene_4030929,888
gene_4348083,888
gene_4203263,885
gene_4218945,884
gene_3170172,883
gene_3781212,880
gene_4334388,879
gene_3366673,878
gene_4107239,878
gene_4079729,877
gene_4382686,876
gene_4542087,876
gene_3098645,876
gene_4215772,876
gene_4149240,876
gene_3752730,875
gene_3979470,875
gene_3497191,874
gene_4096958,873
gene_3653030,872
gene_4334077,871
gene_1930568,871
gene_4261888,871
gene_3391813,870
gene_3738895,870
gene_2775055,869
gene_4384708,869
gene_4483276,869
gene_4103029,868
gene_4611670,868
gene_3574475,868
gene_4456613,868
gene_3151781,867
gene_3955079,865
gene_4168454,865
gene_3947896,864
gene_3208633,864
gene_2651766,863
gene_3701333,862
gene_4485093,862
gene_4121122,862
gene_3558226,860
gene_3940249,860
gene_3835875,860
gene_3804073,859
gene_3987824,858
gene_3905031,858
gene_3532645,858
gene_4389477,858
gene_3845096,857
gene_3649676,856
gene_4622483,855
gene_3962232,855
gene_4180576,854
gene_4274409,854
gene_3016197,853
gene_4222117,852
gene_4040375,852
gene_4324715,852
gene_3045510,851
gene_3811264,850
gene_4218354,845
gene_4556934,843
gene_4080173,842
gene_4516147,841
gene_4055708,841
gene_3250146,840
gene_3867072,835
gene_2847653,834
gene_3830070,833
gene_3611523,833
gene_3576356,832
gene_4378040,831
gene_4373937,827
gene_2659887,826
gene_2398525,825
gene_3552768,824
gene_3768885,824
gene_4298553,823
gene_4253613,820
gene_3594870,819
gene_3839277,819
gene_3548732,819
gene_3293038,819
gene_4503527,818
gene_4467507,817
gene_4097100,816
gene_4128625,816
gene_2684157,816
gene_4238894,815
gene_3762862,815
gene_4616818,814
gene_4545438,812
gene_2807308,812
gene_2791557,811
gene_4500980,811
gene_3420392,810
gene_4430403,809
gene_3825342,809
gene_4622913,808
gene_4179816,807
gene_4364448,804
gene_4021415,804
gene_2865884,803
gene_3360103,803
gene_4615339,803
gene_4080231,802
gene_4411418,800
gene_3821375,800
gene_4370922,799
gene_4369416,798
gene_4321182,798
gene_4321906,797
gene_3229695,797
gene_3659756,796
gene_3432626,796
gene_4137143,795
gene_3761497,792
gene_4279060,792
gene_4471081,791
gene_4058617,790
gene_3335066,790
gene_3468031,789
gene_4273368,789
gene_3763409,789
gene_3238698,789
gene_3431942,788
gene_3533367,787
gene_3902595,787
gene_3245032,785
gene_4308971,785
gene_3517306,785
gene_3905500,784
gene_4042559,784
gene_3570235,782
gene_4268601,782
gene_4334389,780
gene_4609967,779
gene_4412464,779
gene_4325086,779
gene_4131553,778
gene_4385236,778
gene_3331026,778
gene_3525804,778
gene_3755259,776
gene_3958335,776
gene_3411395,775
gene_3483168,774
gene_2027438,774
gene_4003123,774
gene_4146844,772
gene_3457766,772
gene_3053565,772
gene_2517279,772
gene_3846320,771
gene_4140834,771
gene_4239190,771
gene_4546130,770
gene_4116340,770
gene_2748605,769
gene_3701217,768
gene_4574726,768
gene_4303071,767
gene_4242693,767
gene_3396364,765
gene_4517630,765
gene_3524792,764
gene_3410007,764
gene_3016196,763
gene_4244866,763
gene_3470506,762
gene_3508106,760
gene_4442437,759
gene_2828118,758
gene_3699416,757
gene_2907468,757
