gene,postFMT_4_ileum
gene_3761497,3114
gene_3825342,3114
gene_3905500,3107
gene_4246894,3103
gene_4242693,3101
gene_3701217,3099
gene_3939574,3098
gene_3447360,3097
gene_3377577,3093
gene_4385476,3088
gene_4303071,3087
gene_4146844,3086
gene_4385236,3085
gene_3331026,3082
gene_4239190,3082
gene_4609967,3081
gene_3016196,3079
gene_4327639,3079
gene_3431942,3077
gene_4574726,3075
gene_3525804,3074
gene_3396364,3073
gene_4517630,3069
gene_3763409,3068
gene_4096066,3067
gene_4268601,3056
gene_4174320,3048
gene_4116340,3047
gene_2942453,3041
gene_2027438,3041
gene_4179817,3037
gene_4107753,3032
gene_2748605,3028
gene_3483964,3025
gene_3878289,3023
gene_4270176,3011
gene_2891827,3009
gene_4451134,3008
gene_3021138,3007
gene_2907312,3006
gene_2950539,3006
gene_4546130,3004
gene_4140213,2998
gene_4609410,2998
gene_4543219,2996
gene_3840599,2995
gene_4105546,2995
gene_4434871,2994
gene_4069655,2990
gene_3238698,2989
gene_3699416,2988
gene_4088309,2981
gene_4059907,2980
gene_3727693,2975
gene_4308971,2973
gene_4269533,2970
gene_4528749,2966
gene_3483168,2962
gene_2907468,2961
gene_4452467,2951
gene_4513990,2949
gene_3053565,2941
gene_4108746,2940
gene_4037308,2940
gene_3755259,2936
gene_4021954,2936
gene_3723278,2933
gene_4140834,2932
gene_4244866,2931
gene_3524792,2930
gene_4511433,2920
gene_3637357,2919
gene_2531463,2917
gene_3545699,2910
gene_2828118,2909
gene_3963734,2904
gene_4637268,2897
gene_3158796,2896
gene_3736800,2896
gene_4334389,2883
gene_4207199,2881
gene_3830681,2880
gene_4505499,2874
gene_4254653,2871
gene_3655250,2859
gene_2889990,2853
gene_3748570,2850
gene_4128623,2847
gene_4062857,2837
gene_4529695,2835
gene_3193677,2833
gene_4280128,2826
gene_2658889,2826
gene_4527917,2824
gene_4528196,2823
gene_2545589,2821
gene_4578517,2821
gene_4612385,2819
gene_3017876,2808
gene_4157725,2799
gene_4623429,2795
gene_3887703,2795
gene_4408105,2793
gene_4563513,2789
gene_4239563,2784
gene_4246071,2774
gene_2671473,2773
gene_4258089,2773
gene_3407586,2770
gene_4477387,2765
gene_3395345,2753
gene_3367050,2752
gene_4210246,2749
gene_4412666,2745
gene_2548133,2743
gene_3138143,2741
gene_4536110,2738
gene_2436565,2733
gene_4605923,2731
gene_4290563,2726
gene_4286467,2724
gene_3629582,2723
gene_4007919,2714
gene_4435123,2711
gene_4322121,2702
gene_3928646,2702
gene_4099942,2697
gene_4438282,2688
gene_3624994,2688
gene_3570114,2685
gene_4320137,2682
gene_3672159,2674
gene_3979508,2662
gene_3900615,2659
gene_3566700,2652
gene_4492869,2651
gene_3835586,2647
gene_3256987,2646
gene_3487708,2643
gene_3684338,2628
gene_3880134,2628
gene_4018213,2622
gene_4573431,2618
gene_4337085,2615
gene_2862595,2612
gene_3515995,2601
gene_4452507,2599
gene_2975699,2596
gene_4110617,2586
gene_4426395,2584
gene_4527576,2584
gene_2451765,2574
gene_4236880,2571
gene_2497116,2570
gene_3776251,2568
gene_4287837,2564
gene_4584189,2562
gene_4523371,2554
gene_4564532,2552
gene_4417977,2537
gene_2598443,2534
gene_3864697,2529
gene_2726972,2528
gene_3748625,2527
gene_3070147,2525
gene_3321131,2524
gene_4382972,2517
gene_4351361,2514
gene_4470406,2512
gene_3546743,2511
gene_4556371,2511
gene_4546408,2510
gene_3896782,2509
gene_4449784,2504
gene_3426084,2500
gene_2762206,2495
gene_3766364,2488
gene_3530376,2474
gene_1797084,2474
gene_3903189,2474
gene_4070916,2470
gene_4131554,2464
gene_2843767,2460
gene_3708805,2460
gene_2360609,2453
gene_4399332,2452
gene_3788353,2452
gene_3241222,2450
gene_4259368,2449
gene_3939997,2446
gene_3878339,2444
gene_4442343,2442
gene_4064682,2442
gene_2688259,2435
gene_2444072,2435
gene_3603345,2431
gene_3385050,2427
gene_4288577,2425
gene_4093542,2423
gene_2554634,2421
gene_3784734,2419
gene_3754341,2418
gene_3061537,2410
gene_3020902,2409
gene_3968138,2408
gene_3365398,2406
gene_4248567,2399
gene_4602238,2398
gene_4473652,2396
gene_4561586,2393
gene_3606768,2383
gene_3371393,2377
gene_3847533,2369
gene_3700585,2361
gene_4109179,2360
gene_3801155,2360
gene_4224908,2352
gene_3952118,2352
gene_3694244,2352
gene_3688249,2337
gene_3553954,2334
gene_3747117,2330
gene_3910328,2328
gene_3224342,2323
gene_3680054,2319
gene_3930782,2318
gene_4293903,2312
gene_3434320,2312
gene_4488023,2309
gene_3477439,2308
gene_4350987,2307
gene_3015770,2306
gene_4187980,2301
gene_3743822,2293
gene_4228672,2292
gene_3851480,2290
gene_2738377,2288
gene_4466074,2285
gene_4203262,2285
gene_2748457,2282
gene_4095762,2281
gene_4566738,2281
gene_3183669,2280
gene_3424683,2279
gene_3664881,2278
gene_2345741,2275
gene_4039330,2274
gene_3209100,2273
gene_3319054,2271
gene_4502189,2270
gene_3752113,2262
gene_3503605,2261
gene_3386808,2261
gene_3943020,2257
gene_3769682,2257
gene_4519327,2257
gene_2862090,2250
gene_4369391,2249
gene_2612009,2248
gene_4346855,2246
gene_4635507,2242
gene_4353436,2239
gene_1228123,2235
gene_4198064,2235
gene_4114702,2227
gene_3791658,2226
gene_2226190,2220
gene_3942185,2218
gene_4235718,2218
gene_3688415,2217
gene_4317729,2208
gene_4446473,2207
gene_3619597,2206
gene_4032220,2206
gene_4566159,2204
gene_4405189,2203
gene_3853186,2201
gene_3030514,2201
gene_4022371,2200
gene_3008563,2187
gene_3920429,2187
gene_3902141,2186
gene_3225670,2182
gene_3356152,2178
gene_4561712,2174
gene_4572013,2172
gene_4214791,2167
gene_3622006,2167
gene_4449542,2164
gene_4304471,2164
gene_3896186,2162
gene_4181468,2161
gene_4497927,2156
gene_2264954,2155
gene_3148548,2153
gene_4161604,2145
gene_3237970,2145
gene_3819729,2145
gene_4252705,2145
gene_4445774,2141
gene_3205533,2140
gene_3308717,2138
gene_4099202,2126
gene_3240042,2114
gene_3363935,2112
gene_4131555,2111
gene_4405191,2108
gene_3889288,2107
gene_3661365,2107
gene_3166850,2103
gene_3823417,2101
gene_2945924,2098
gene_4265316,2092
gene_4358011,2085
gene_4021955,2083
gene_4007592,2072
gene_4063114,2070
gene_3768162,2063
gene_4405089,2063
gene_2836867,2063
gene_3120991,2053
gene_3840600,2052
gene_3946214,2050
gene_3442602,2050
gene_3568137,2044
gene_3772264,2044
gene_3950111,2042
gene_4039328,2040
gene_4343613,2040
gene_4606035,2035
gene_3912717,2033
gene_4095889,2019
gene_4520504,2014
gene_3203713,2013
gene_3224473,2012
gene_4356249,2011
gene_3815982,2010
gene_3203079,2008
gene_3839567,2005
gene_4480420,2001
gene_3369022,1997
gene_3026649,1993
