,A1-S13,A2-S14,A3-S15,A4-S16,A5-S17,B1-S18,B2-S19,B3-S20,B4-S21,B5-S22,C1-S23,C2-S24,C3-S25,C4-S26,C5-S27,D1-S28,D2-S29,D3-S30,D4-S31,D5-S32,E1-S33,E2-S34,E3-S35,E4-S36,E5-S37,F1-S38,F2-S39,F3-S40,F4-S41,F5-S42,G1-S43,G2-S44,G3-S45,G4-S46,G5-S47,H1-S48,H2-S49,H3-S50,H4-S51,H5-S52
K05946,3.0,2.0,2.0,0.0,0.0,1.0,14.0,0.0,31.0,2.0,0.0,9.0,1.0,2.0,0.0,0.0,7.0,26.0,3.0,2.0,0.0,0.0,48.0,11.0,0.0,0.0,41.0,1.0,42.0,3.0,0.0,3.0,5.0,1.0,5.0,0.0,7.0,0.0,17.0,11.0
K05964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
K05966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
K05967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0
K05970,67.0,2.0,6.0,7.0,20.0,7.0,67.0,0.0,33.0,37.0,3.0,10.0,0.0,3.0,4.0,2.0,54.0,11.0,2.0,8.0,0.0,0.0,29.0,15.0,2.0,0.0,48.0,1.0,9.0,12.0,12.0,2.0,7.0,7.0,15.0,0.0,11.0,0.0,9.0,28.0
K05982,1.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,1.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,6.0
K05985,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,2.0,67.0,1.0,4.0,5.0,0.0,36.0,12.0,2.0,7.0,1.0,0.0,52.0,1.0,0.0,0.0,19.0,0.0,14.0,1.0,3.0,4.0,6.0,3.0,2.0,0.0,34.0,0.0,1.0,10.0
K05988,1.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0
K05989,10.0,1.0,1.0,8.0,5.0,4.0,101.0,0.0,28.0,20.0,2.0,63.0,6.0,12.0,0.0,0.0,14.0,38.0,10.0,4.0,0.0,0.0,296.0,22.0,11.0,1.0,266.0,0.0,39.0,15.0,6.0,8.0,11.0,29.0,8.0,0.0,55.0,0.0,20.0,28.0
K05991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
