,postFMTs1scecum_S27,postFMTs1scolon_S28,postFMTs1sduodenum_S24,postFMTs1sileum_S26,postFMTs1sjejunum_S25,postFMTs2scecum_S32,postFMTs2scolon_S33,postFMTs2sduodenum_S29,postFMTs2sileum_S31,postFMTs2sjejunum_S30,postFMTs3scecum_S37,postFMTs3scolon_S38,postFMTs3sduodenum_S34,postFMTs3sileum_S36,postFMTs3sjejunum_S35,postFMTs4scecum_S42,postFMTs4scolon_S43,postFMTs4sduodenum_S39,postFMTs4sileum_S41,postFMTs4sjejunum_S40
K00209,0.0,0.0,0.0,0.0,0.0,20.065545307680253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00215,184.76761038571343,0.0,0.0,0.0,0.0,59.762316760536876,0.0,0.0,0.0,0.0,0.0,90.83860015537032,0.0,0.0,0.0,103.43768954956607,467.4583541352301,0.0,0.0,0.0
K00239,293.34018789443854,83.30584240533958,0.0,0.0,0.0,34.437235305604226,0.0,0.0,0.0,0.0,0.0,240.0734432677645,0.0,0.0,0.0,107.3255989243967,0.0,0.0,0.0,0.0
K00240,0.0,0.0,0.0,0.0,0.0,31.069231444150077,0.0,0.0,0.0,0.0,0.0,96.81974255243178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00243,165.11148162127589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.80294593671582,78.16344664531866,0.0,0.0,0.0,338.4339167807001,300.6269273943883,0.0,0.0,0.0
K00244,69.08225195430236,0.0,0.0,0.0,0.0,12.569607501059087,0.0,0.0,0.0,0.0,90.53381202908155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K00248,121.8885806732979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.75117438383442,0.0,0.0,0.0,185.86205319063765,0.0,0.0,0.0,0.0
K00259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.4207792508588,0.0,0.0,0.0,61.57648359608634,0.0,0.0,0.0,0.0
K00262,521.0880112096655,245.146708047431,0.0,0.0,0.0,1845.8990805108042,0.0,4.687067361711886,0.0,0.0,0.0,154.81305770076384,0.0,0.0,0.0,3920.0081768636096,0.0,0.0,0.0,0.0
K00265,165.11148162127589,0.0,0.0,0.0,0.0,115.90328202978556,0.0,0.0,0.0,0.0,119.1377539196379,630.256183330245,0.0,0.0,0.0,682.3274557272001,56.60507016141842,0.0,0.0,0.0
K00266,491.1629759476967,817.7738321771843,0.0,0.0,0.0,91.92595996876392,0.0,0.0,0.0,0.0,987.7964830947133,94.87390187284143,0.0,0.0,0.0,246.09770896768504,3280.7379966205062,0.0,0.0,0.0
K00278,0.0,310.16704045963957,0.0,0.0,375.23677440464934,16.86032691061098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0693129928247,0.0,0.0,0.0,0.0
K00281,0.0,58.577160765017716,0.0,0.0,0.0,63.24952625331557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
