ko_map,gi_location,no_FMT_control,Recipient,Donor,postFMTvsnoFMT,donorVnoFMT,postFMTvdonor
K20491,cecum,0.16264975,0.01979875,1.63815,-3.03828735158337,3.3322269558545,-6.37051430743787
K20903,cecum,0.0457195,0.01979875,1.2541075,-1.20740027776389,4.77770758266286,-5.98510786042675
K20904,cecum,0.111771,0.01979875,1.39405325,-2.49706466310575,3.64066784874796,-6.13773251185371
K22901,cecum,0.01294075,30.71509025,0.321707,11.2128106737897,4.63575418947527,6.57705648431443
K00171,colon,0.02335275,0.02366825,1.1469915,0.0193605885167645,5.61811843931926,-5.5987578508025
K00248,colon,0.18572875,0.02366825,2.03995275,-2.97217221134585,3.45726667587768,-6.42943888722353
K00575,colon,0.2496895,0.02366825,5.1035175,-3.39911020988913,4.35328488024483,-7.75239509013396
K01028,colon,0.02335275,0.02366825,0.61463175,0.0193605885167645,4.71805793848393,-4.69869734996716
K01046,colon,0.110655,0.02366825,2.2715875,-2.22504369737841,4.35956033149164,-6.58460402887004
K01048,colon,0.02335275,0.02366825,0.44872375,0.0193605885167645,4.26416318924162,-4.24480260072486
K01193,colon,0.628595,1.22465875,6.4259,0.96217709787888,3.35369582798942,-2.39151873011054
K01698,colon,0.02335275,0.02366825,0.23690825,0.0193605885167645,3.34266408370554,-3.32330349518878
K01709,colon,0.02335275,0.02366825,0.31614475,0.0193605885167645,3.75892090626558,-3.73956031774882
K01751,colon,0.02335275,0.02366825,1.39719225,0.0193605885167645,5.90279428476456,-5.88343369624779
K01963,colon,0.02335275,0.02366825,0.6472215,0.0193605885167645,4.792595177743,-4.77323458922624
K01996,colon,0.07829875,0.02366825,1.9173925,-1.72603623680454,4.61401260822491,-6.34004884502945
K02010,colon,0.02335275,0.02366825,1.34849275,0.0193605885167645,5.8516115044213,-5.83225091590454
K02018,colon,0.02335275,0.02366825,0.284034,0.0193605885167645,3.60439928081025,-3.58503869229349
K02171,colon,0.02335275,0.02366825,4.39172,0.0193605885167645,7.55504981561108,-7.53568922709432
K02278,colon,0.02335275,0.02366825,0.68056825,0.0193605885167645,4.86507549239443,-4.84571490387766
K02385,colon,0.02335275,0.02366825,0.49466525,0.0193605885167645,4.40478819881774,-4.38542761030097
K02398,colon,0.02335275,0.02366825,0.3672855,0.0193605885167645,3.97523758569491,-3.95587699717815
K02406,colon,4.46642575,0.02366825,67.38575,-7.56002392950952,3.91525085447704,-11.4752747839866
K02411,colon,0.02335275,0.37703375,0.706428,4.01302931585319,4.91887817122694,-0.905848855373752
K02420,colon,0.02335275,0.02366825,0.7822965,0.0193605885167645,5.06605115476034,-5.04669056624358
K02473,colon,0.02335275,0.02366825,0.352612,0.0193605885167645,3.91641721732269,-3.89705662880593
K02483,colon,0.02335275,0.02366825,1.958675,0.0193605885167645,6.39014177253662,-6.37078118401986
K02654,colon,0.02335275,0.02366825,0.5413895,0.0193605885167645,4.53500255182459,-4.51564196330782
K02798,colon,0.11515075,0.02366825,1.464404,-2.28249886361385,3.66871790662572,-5.95121677023957
K02805,colon,0.02335275,0.02366825,0.63122,0.0193605885167645,4.75647856180402,-4.73711797328725
K02911,colon,0.02335275,0.02366825,3.297009,0.0193605885167645,7.14142156449954,-7.12206097598277
K03389,colon,0.02335275,0.02366825,0.2515375,0.0193605885167645,3.42910914197601,-3.40974855345925
K03394,colon,0.02335275,0.02366825,0.473799,0.0193605885167645,4.34261079803595,-4.32325020951918
K03408,colon,0.02335275,0.02366825,1.8920755,0.0193605885167645,6.3402333973696,-6.32087280885284
K03413,colon,0.13655375,0.02366825,3.825574,-2.52844398941498,4.80813539147422,-7.3365793808892
K03458,colon,0.02335275,0.02366825,0.25570325,0.0193605885167645,3.45280614182226,-3.43344555330549
K03462,colon,0.02335275,0.02366825,0.8456395,0.0193605885167645,5.1783784112914,-5.15901782277464
K03556,colon,0.02335275,0.02366825,0.4493325,0.0193605885167645,4.26611905946835,-4.24675847095159
K03652,colon,0.02335275,0.02366825,0.5188015,0.0193605885167645,4.47351829523607,-4.45415770671931
K03666,colon,0.20160125,0.02366825,2.161039,-3.09047963998131,3.42214861936447,-6.51262825934578
K03704,colon,0.02335275,0.02366825,2.8899,0.0193605885167645,6.95128331091222,-6.93192272239546
K03785,colon,0.02335275,0.02366825,0.234339,0.0193605885167645,3.32693271992336,-3.30757213140659
K03830,colon,0.02335275,0.02366825,0.29602375,0.0193605885167645,3.66404857239789,-3.64468798388113
K04045,colon,0.06581225,0.02366825,1.125735,-1.475403106807,4.09636729840304,-5.57177040521004
K04477,colon,0.02335275,0.02366825,0.322399,0.0193605885167645,3.78718291340462,-3.76782232488785
K04562,colon,0.02335275,0.02366825,0.794082,0.0193605885167645,5.08762363777576,-5.06826304925899
K04769,colon,0.17208375,0.02366825,3.550225,-2.86208592490449,4.36672768601016,-7.22881361091465
K05337,colon,0.02335275,0.02366825,0.9547965,0.0193605885167645,5.35352892234466,-5.3341683338279
K05341,colon,0.22519175,0.02366825,2.43709,-3.25012903050074,3.43593365002267,-6.68606268052341
K05567,colon,0.02335275,0.02366825,0.3612895,0.0193605885167645,3.95149097136576,-3.93213038284899
K05570,colon,0.02335275,0.02366825,0.5202105,0.0193605885167645,4.47743116353536,-4.4580705750186
