,A1-S13,A2-S14,A3-S15,A4-S16,A5-S17,B1-S18,B2-S19,B3-S20,B4-S21,B5-S22,C1-S23,C2-S24,C3-S25,C4-S26,C5-S27,D1-S28,D2-S29,D3-S30,D4-S31,D5-S32,E1-S33,E2-S34,E3-S35,E4-S36,E5-S37,F1-S38,F2-S39,F3-S40,F4-S41,F5-S42,G1-S43,G2-S44,G3-S45,G4-S46,G5-S47,H1-S48,H2-S49,H3-S50,H4-S51,H5-S52
K04486,134.95502372250286,0.0,89.18355134252458,251.03933224403454,243.89656402252976,718.5254981862114,325.2933076669883,8.441148749855742,107.17302171813772,111.7258559277746,381.4474723265581,758.0215934384685,357.27760041810114,276.44240812470036,292.4013492795246,0.0,622.8574757859811,525.466581944949,303.3472019435165,54.14013344320912,0.0,97.47486488765291,287.1700681055514,296.209088221312,114.05134137597187,5.780290342998652,218.8625008833173,0.0,451.72968454346557,68.518061453981,31.04057474847272,189.45523207855962,291.6896182595969,643.9027918601496,112.34532667938464,0.0,119.7763537098688,0.0,159.98729768427089,186.87233448328317
K04487,15.480035869463446,547.8442247604689,837.0800776423291,553.601048380515,218.99542950059094,799.2307178243816,545.7641576068627,0.0,329.91474346143167,475.9260227024104,185.20419060227488,1264.381329071535,777.9314847790082,732.8652312040557,623.6655134671762,2.6740146235388647,1004.3577528026425,1330.8473542806166,884.7698316203225,124.48788783982474,5.562723588459583,162.29377101336797,825.5054547633393,269.4110608194262,171.5931328796954,1.7331494565748875,603.9049563113327,2.1967951096739853,528.5312528123652,202.849710228832,42.84048161661269,343.1543706254072,544.3774389016515,1361.0470531899357,196.70955034561106,0.0,320.81597059782683,0.0,393.62296703016483,361.21544639472626
K04488,13.393647607238247,186.85615769014856,0.0,0.0,131.54824267983665,337.552065005487,328.74476387198916,0.0,58.72663419134693,45.840753805355575,222.23649525824294,758.9673238485422,0.0,0.0,148.26830038564586,0.0,487.4913436773093,390.757530784085,289.6331067441319,0.0,0.0,0.0,509.00052902181403,374.4766162936376,0.0,0.0,142.65061222861502,5.597313567114538,207.38159069059452,110.85300107126172,10.82100571898809,258.41417727797443,946.3037785909208,274.45758693716596,93.60985622141581,0.0,275.47741185777915,0.0,82.58953934488586,135.61680841554656
K04516,116.49559149462914,0.0,200.10713736134326,0.0,280.3211261118907,222.8290762724768,73.93519682111356,6.4314018910143105,33.238608707729384,74.33224466968696,22.16101939625494,5.611704210258527,0.0,154.90313034758975,0.0,0.0,2.806218781745613,5.5866429891328835,0.0,29.181173380695846,0.0,0.0,1.5903489989071125,7.707221537989067,0.0,0.0,28.230521353111552,0.0,0.0,19.431061424503376,24.62053572683154,0.0,0.0,8.802969093585386,38.46180972701721,0.0,0.0,0.0,0.0,17.320983628179867
K04517,0.0,36.096780087803246,64.38384722588674,122.51857519003892,38.597210987892964,110.82765645742933,310.03623826785474,0.0,563.749425030878,96.39487957866963,149.67015909831284,514.5773802228415,146.81157480498356,196.1791877621115,193.2729477270716,0.0,309.7924892534883,339.79648497797143,799.9103480809861,566.6627839764159,0.0,75.69856528509216,227.52188008808244,34.93394069960717,20.449701810344393,0.0,240.5691854734709,0.0,580.5923757268251,34.98078188344742,4.84875666096734,153.73246943281788,158.10752404744719,163.51232227108048,29.731416256995562,0.0,135.08362152753426,0.0,307.27559834837024,64.98948584315987
K04518,85.51654123168407,42.45344576364282,0.0,154.39649938844366,39.60864245635747,35.58800802281817,137.02573834356104,3.5652056831688848,48.09534799995563,51.640652494346774,0.0,10.737589504787957,0.0,64.59514810293149,0.0,0.0,111.673645662038,6.760784905493016,21.88096666609776,16.177640850225618,0.0,0.0,30.875894415506504,4.95284676903468,0.0,2.688525128750444,73.22407440288752,0.0,7.860255596961809,24.02786956352501,18.812490507922757,39.936876503193425,16.524766841323537,21.178319679040555,97.63984857654451,0.0,98.01191383837275,0.0,28.718005270328323,30.307798799644715
K04561,17.94521488581034,0.0,0.0,0.0,47.2130817688485,0.0,7.780772275830333,0.0,0.0,0.0,45.201159000366815,2.8615057111699205,0.0,0.0,9.517000246090593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2447804173777675,0.0,0.0,0.0,7.370186470291379,0.0,0.0,0.0,5.558823068527182,0.0,0.0,0.0,0.0,3.559995408423846
K04562,0.0,768.1193348532439,0.0,0.0,0.0,102.7694517393627,71.64352746686163,0.0,45.89474104656616,0.0,0.0,34.52392219661558,0.0,0.0,0.0,3.4707244600042118,3.388110301706242,93.8192514287542,100.81768010235353,0.0,0.0,0.0,61.1970063754979,28.873731726572053,0.0,0.0,48.94242926657205,0.0,14.58284262067915,24.182733144136918,0.0,19.324853394415328,0.0,32.874536304665426,0.0,0.0,8.114415615935394,0.0,35.05108428235519,170.12515136619086
K04564,94.5230694910939,139.89840158381782,0.0,119.41062735477756,151.8297590633105,0.0,106.30033395140566,0.0,147.073040194482,30.877191682363854,37.73645283984922,88.86693400940044,0.0,0.0,78.17396876219615,0.0,43.515109424484834,65.85387183888244,89.09026999318552,24.727482128583198,0.0,0.0,45.029231542650436,47.39268793224968,0.0,0.0,38.225910452356494,0.0,57.00282855012995,51.915721003432445,9.195051491782626,52.644932068404806,95.49378286016983,87.9099081808746,37.987088405344075,0.0,7.8395399442216505,0.0,12.077665767895091,25.147208406824838
K04565,0.0,0.0,0.0,0.0,44.301083255527104,187.3823242940037,54.37796082444229,0.0,91.9462143946061,127.96038638918273,305.7259211752648,258.9809283609532,108.2172730134582,114.94686381908429,219.55711023364472,0.0,185.31310613600604,199.64289102656156,169.45973621688995,29.27855245899729,0.0,0.0,75.28938476550479,102.94367632762219,0.0,0.0,122.6418752285144,0.0,42.464503983487084,144.71578281332438,0.0,29.84728665629593,53.60364215522016,38.28761256366656,10.75249185235306,0.0,0.0,0.0,17.00408206795756,77.60623338811276
K04566,0.0,0.0,0.0,67.38673978043761,0.0,29.841203764318646,13.585165731075442,0.0,0.0,0.0,0.0,7.45460437096417,0.0,80.6203008308358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.12027371483568,6.241931712457735,0.0,0.0,11.762724160823034,0.0,0.0,0.0,0.0,0.0,0.0,43.32011936381289,0.0,0.0,4.323715014193306,0.0,0.0,3.733816937303054
K04567,416.7692700697744,744.0841077174952,1250.2089892524275,964.0085648312838,478.71201246328525,335.13113362666377,900.5069113479341,19.558729373783905,488.1536518853527,469.6339037798702,329.32247031779895,711.551057502941,1053.425333382348,538.0805073706595,634.1593192473712,5.6803257653918635,592.8698014293068,1219.735621014726,2162.347848385132,222.69870569127426,0.0,261.75034264867844,1115.2510690256104,884.2204968023035,100.82931633920005,0.0,439.6071368508877,0.0,937.948319503228,629.3083980782623,41.9691326953777,264.74650964066336,206.87152837488156,469.68406105444865,178.7902830810351,0.0,224.47327964447376,0.0,493.4471345297385,456.0247204705256
K04568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.190198293913309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
