OTU,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu257,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Dysosmobacter,0.9800
Otu256,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,0.9900,Clostridiales,0.9900,Clostridiales_Incertae_Sedis_XIII,0.8000,Mogibacterium,0.7900
Otu260,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Anaerobutyricum,1.0000
Otu259,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.7700,Bacteroidales,0.7700,Rikenellaceae,0.6400,Alistipes,0.6300
Otu261,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Anaerocolumna,0.4900
Otu262,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Ruminococcus,0.7500
Otu263,Bacteria,1.0000,Firmicutes,0.8700,Bacilli,0.5300,Lactobacillales,0.5300,Lactobacillaceae,0.5200,Leuconostoc,0.3800
Otu265,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Lachnospira,0.8400
Otu264,Bacteria,1.0000,Firmicutes,0.6000,Clostridia,0.5900,Clostridiales,0.5900,Lachnospiraceae,0.3000,Cellulosilyticum,0.1800
Otu266,Bacteria,1.0000,Firmicutes,0.6500,Clostridia,0.6500,Clostridiales,0.6500,Lachnospiraceae,0.3400,Spiroplasma,0.1900
Otu267,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,1.0000,Enterocloster,0.7900
Otu268,Bacteria,1.0000,Firmicutes,0.7200,Clostridia,0.7200,Clostridiales,0.7200,Lachnospiraceae,0.5200,Faecalicatena,0.3700
Otu270,Bacteria,1.0000,Firmicutes,0.8300,Erysipelotrichia,0.7000,Erysipelotrichales,0.7000,Erysipelotrichaceae,0.7000,Amedibacillus,0.5700
Otu271,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,1.0000,Bacteroidales,1.0000,Porphyromonadaceae,1.0000,Parabacteroides,1.0000
Otu269,Bacteria,1.0000,Proteobacteria,1.0000,Betaproteobacteria,0.9900,Burkholderiales,0.9900,Sutterellaceae,0.9900,Parasutterella,0.9900
Otu272,Bacteria,1.0000,Firmicutes,0.9400,Clostridia,0.9400,Clostridiales,0.9400,Lachnospiraceae,0.8700,Lachnobacterium,0.7300
Otu273,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Eubacteriaceae,1.0000,Intestinibacillus,1.0000
Otu274,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9400,Lachnobacterium,0.8200
Otu275,Bacteria,1.0000,Bacteroidetes,1.0000,Bacteroidia,0.9900,Bacteroidales,0.9900,Bacteroidaceae,0.9900,Bacteroides,0.9900
Otu276,Bacteria,1.0000,Firmicutes,0.7600,Clostridia,0.6600,Clostridiales,0.6600,Lachnospiraceae,0.5600,Lachnobacterium,0.4800
Otu278,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Lachnospiraceae,0.9900,Marvinbryantia,0.9300
Otu277,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Ruminococcaceae,1.0000,Anaerotruncus,0.8600
Otu279,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Ruminococcaceae,0.9400,Ruminococcus,0.9200
Otu281,Bacteria,1.0000,Firmicutes,0.9900,Clostridia,0.9900,Clostridiales,0.9900,Lachnospiraceae,0.5000,Butyrivibrio,0.3900
Otu280,Bacteria,1.0000,Firmicutes,0.9800,Clostridia,0.8100,Clostridiales,0.8100,Eubacteriaceae,0.7800,Anaerofustis,0.7800
Otu282,Bacteria,1.0000,Actinobacteria,1.0000,Coriobacteriia,1.0000,Eggerthellales,0.6400,Eggerthellaceae,0.6400,Collinsella,0.3600
Otu283,Bacteria,1.0000,Proteobacteria,1.0000,Deltaproteobacteria,1.0000,Desulfovibrionales,1.0000,Desulfovibrionaceae,1.0000,Desulfovibrio,1.0000
Otu284,Bacteria,1.0000,Firmicutes,0.8900,Erysipelotrichia,0.8100,Erysipelotrichales,0.8100,Erysipelotrichaceae,0.8100,Allobaculum,0.4200
Otu285,Bacteria,1.0000,Firmicutes,1.0000,Clostridia,1.0000,Clostridiales,1.0000,Lachnospiraceae,0.9900,Lachnobacterium,0.5500
